"key","en"
"OPTIONS_TITLE","OPTIONS"
"LANGUAGE_OPTION","Language"
"BOSS_REMIX_OPTION","Boss Remix"
"REMIX_OPTION","16-bit Remix"
"DT_DASH_OPTION","Double tap dash"
"SKIP_DIAG_OPTION","Skippable Dialogs"
"CHARGE_OPTION","Charge fade out"
"ACHIEV_OPTION","Show Achievements"
"MUSIC_OPTION","Music Volume"
"SOUND_OPTION","Sound Volume"
"VSync","VSync"
"FPS_OPTION","Target FPS"
"FPS_PHYSICS_OPTION","Physics FPS"
"FPS_UNCAPPED","Uncapped"
"WSIZE_OPTION","Window Size"
"FULLSCREEN_OPTION","Fullscreen"
"STRETCH_OPTION","Stretch Mode"
"STRETCH_OPTION_VIEWPORT","No interpolation"
"STRETCH_OPTION_2D","Interpolated"
"CRT_OPTION","CRT Filter"
"LIGHT_VALUE","Light"
"STRONG_VALUE","Strong"
"DEBUG_OPTION","Show Debug"
"SHOWIGT_OPTION","Show IGT"
"GATEWAYSKIP_OPTION","Gateway Skip"
"ASPECT_OPTION","Aspect Ratio"
"IGNORE_VALUE","ignore"
"KEEP_VALUE","keep"
"KEYCFG_TITLE","KEY CONFIG"
"EXIT_MAINMENU","Return to title screen"
"ACTION_CTG","Action"
"KEYBOARD_CTG","Keyboard"
"JOYPAD_CTG","Joypad"
"LEFT_ACT","left"
"RIGHT_ACT","right"
"NEWGAME_OPTION","New game+"
"CLEARSAVE_OPTION","Clear save game and reset"
"CLEARSAVE_CONFIRM","Press again to confirm"
"RESET_ACHIEV","Clear Achievements Progress"
"CLEARSAVE_CONFIRM","Press again to confirm"
"RESET_ACHIEV_FINISHED","Achivements Progress Cleared."
"UP_ACT","up"
"DOWN_ACT","down"
"SHOT_ACT","shot"
"SHOT2_ACT","shot2"
"JUMP_ACT","jump"
"DASH_ACT","dash"
"ARMORABILITY_ACT","Armor Ability"
"PREV_ACT","prev weapon"
"NEXT_ACT","next weapon"
"PAUSE_ACT","pause menu"
"CONFIRM_ACT","menu confirm"
"WPNLEFT_ACT","wheel left"
"WPNRIGHT_ACT","wheel right"
"WPNUP_ACT","wheel up"
"WPNDOWN_ACT","wheel down"
"WPNRESET_ACT","Select Buster"
"ACHIEV_SCREEN_TITLE","Achievements"
"ACHIEVEMENTSUNLOCKED","Achievements Earned"
"DEBUGACHIEVTITLE","Locked Achievement..."
"DEBUGACHIEVDISC","Used Debug Mode."
"BEATINTRO_DISC","Defeated Noah's Park Boss."
"BEATINTRO_TITLE","Good to see you again"
"COLLECTALLHEARTS_DISC","Collected all Heart Tanks."
"COLLECTALLHEARTS_TITLE","Strider"
"COLLECTALLSUBTANKS_DISC","Collected All Sub Tanks."
"COLLECTALLSUBTANKS_TITLE","Virtue's Last Reward"
"COLLECTFULLHERMES_DISC","Collected All Hermes Armor Parts."
"COLLECTFULLHERMES_TITLE","Soul Eraser"
"COLLECTFULLICARUS_DISC","Collected All Icarus Armor Parts."
"COLLECTFULLICARUS_TITLE","Command Mission"
"SURFEDONMISSILE_DISC","Surfed through the skies for 6 seconds."
"SURFEDONMISSILE_TITLE","Bomb Rush Cyberfunk"
"DEFEATEDALL_DISC","Defeated all eight Maverick Bosses."
"DEFEATEDALL_TITLE","The Orbital Elevator"
"DEFEATEDANY_DISC","Defeated any of the Maverick Bosses."
"DEFEATEDANY_TITLE","New Generation Reploids"
"GIGACRUSHKILL_DISC","Finished a Boss with Giga Crash."
"GIGACRUSHKILL_TITLE","Cataclysm"
"PELEDOSGAMES_DISC","Juggled the Armor well after beating the Boss."
"PELEDOSGAMES_TITLE","Pelé of the Games"
"PERFECTKILL_DISC","Defeated any Boss without using special weapons, without taking damage and without upgrades."
"PERFECTKILL_TITLE","Mark of the Wolves"
"XDRIVEDODGE_DISC","Used XDrive during a Desperation Attack."
"XDRIVEDODGE_TITLE","Mark of the Ninja"
"GIGACRUSHKILL_DISC","Finished a Boss with Giga Crash."
"GIGACRUSHKILL_TITLE","Cataclysm"
"ANTONIONBUSTERONLY_DISC","Defeated Gravity Antonion without using special weapons."
"ANTONIONBUSTERONLY_TITLE","Don't attach Labels to me"
"ANTONIONNAKED_DISC","Defeated Gravity Antonion without equipping any upgrades."
"ANTONIONNAKED_TITLE","Not after Praise"
"ANTONIONNODAMAGE_DISC","Defeated Gravity Antonion without taking damage."
"ANTONIONNODAMAGE_TITLE","An Incredible Scientist"
"ANTONIONNOROTATION_DISC","Reached the end of Primrose without rotating the Stage and dying."
"ANTONIONNOROTATION_TITLE","Portal"
"MANOWARBUSTERONLY_DISC","Defeated Gigabolt Manowar without using special weapons."
"MANOWARBUSTERONLY_TITLE","I'm in complete control"
"MANOWARNAKED_DISC","Defeated Gigabolt Manowar without equipping any upgrades."
"MANOWARNAKED_TITLE","Who are you, anyway?"
"MANOWARNODAMAGE_DISC","Defeated Gigabolt Manowar without taking damage."
"MANOWARNODAMAGE_TITLE","Not doing anything wrong"
"MANOWARDOOREXPLODED_DISC","Broke your way through Dynasty."
"MANOWARDOOREXPLODED_TITLE","Gotta Go Fast"
"MANTISBUSTERONLY_DISC","Defeated Dark Mantis without using special weapons."
"MANTISBUSTERONLY_TITLE","Let my blade show you"
"MANTISNAKED_DISC","Defeated Dark Mantis without equipping any upgrades."
"MANTISNAKED_TITLE","Can't go Maverick, Kid"
"MANTISNODAMAGE_DISC","Defeated Dark Mantis without taking damage."
"MANTISNODAMAGE_TITLE","Your precious \""Justice\"""
"MANTISLIT_DISC","Put an end to the darkness in Pitch Black."
"MANTISLIT_TITLE","Shining In The Darkness"
"MANTISUNDETECTED_DISC","Avoided all Seachlights in Pitch Black."
"MANTISUNDETECTED_TITLE","Shadow Tactics"
"PANDABUSTERONLY_DISC","Defeated Bamboo Pandamonium without using special weapons."
"PANDABUSTERONLY_TITLE","Sole purpose to Destroy"
"PANDANAKED_DISC","Defeated Bamboo Pandamonium without equipping any upgrades."
"PANDANAKED_TITLE","We are forced to Fight"
"PANDANODAMAGE_DISC","Defeated Bamboo Pandamonium without taking damage."
"PANDANODAMAGE_TITLE","Never thought yourself?"
"PANDARIDEREACHED_DISC","Reached the end of Booster Forest with the Ride Armor Cyclops."
"PANDARIDEREACHED_TITLE","Probotector"
"ROOSTERBUSTERONLY_DISC","Defeated Burn Rooster without using special weapons."
"ROOSTERBUSTERONLY_TITLE","The Price I have to pay"
"ROOSTERNAKED_DISC","Defeated Burn Rooster without equipping any upgrades."
"ROOSTERNAKED_TITLE","Labeled Maverick"
"ROOSTERNODAMAGE_DISC","Defeated Burn Rooster without taking damage."
"ROOSTERNODAMAGE_TITLE","This is no ordinary Riot"
"ROOSTERFROZEN_DISC","Stopped the Lava Wall at Inferno."
"ROOSTERFROZEN_TITLE","Hades"
"SUNFLOWERBUSTERONLY_DISC","Defeated Optic Sunflower without using special weapons."
"SUNFLOWERBUSTERONLY_TITLE","No one can control us"
"SUNFLOWERNAKED_DISC","Defeated Optic Sunflower without equipping any upgrades."
"SUNFLOWERNAKED_TITLE","We're no Monsters"
"SUNFLOWERNODAMAGE_DISC","Defeated Optic Sunflower without taking damage."
"SUNFLOWERNODAMAGE_TITLE","What we're after"
"SUNFLOWERGOTSSSRANK_DISC","Got S Rank in all challenges in a single run."
"SUNFLOWERGOTSSSRANK_TITLE","Gravity Circuit"
"TRILOBYTEBUSTERONLY_DISC","Defeated Earthrock Trilobyte without using special weapons."
"TRILOBYTEBUSTERONLY_TITLE","The Ore we mine"
"TRILOBYTENAKED_DISC","Defeated Earthrock Trilobyte without equipping any upgrades."
"TRILOBYTENAKED_TITLE","Old heaps of Junk"
"TRILOBYTENODAMAGE_DISC","Defeated Earthrock Trilobyte without taking damage."
"TRILOBYTENODAMAGE_TITLE","Brainless Maverick Hunter"
"YETIBUSTERONLY_DISC","Defeated Avalanche Yeti without using special weapons."
"YETIBUSTERONLY_TITLE","It's too late..."
"YETINAKED_DISC","Defeated Avalanche Yeti without equipping any upgrades."
"YETINAKED_TITLE","You Old model Reploids"
"YETINODAMAGE_DISC","Defeated Avalanche Yeti without taking damage."
"YETINODAMAGE_TITLE","Puny Maverick Hunter"
"YETIDOOREXPLODED_DISC","Broke your way through Central White."
"YETIDOOREXPLODED_TITLE","Sonic Drive"
"VILEJAKOBBUSTERONLY_DISC","Defeated Vile without using special weapons."
"VILEJAKOBBUSTERONLY_TITLE","Piecing it Together"
"VILEJAKOBNAKED_DISC","Defeated Vile without equipping any upgrades."
"VILEJAKOBNAKED_TITLE","For a World that's Doomed"
"VILEJAKOBNODAMAGE_DISC","Defeated Vile without taking damage."
"VILEJAKOBNODAMAGE_TITLE","At times like this"
"VILEDEFEATEDTWICE_DISC","Defeated Vile twice."
"VILEDEFEATEDTWICE_TITLE","Our little Reunion"
"VILEDEVILBEARDEFEATED_DISC","Defeated Devil Bear before finishing the battle."
"VILEDEVILBEARDEFEATED_TITLE","Steel Assault"
"VILEJAKOBDEFEATED_DISC","Defeated Vile at the top of the Orbital Elevator."
"VILEJAKOBDEFEATED_TITLE","The route to Space"
"VILESIGMADEFEATED_DISC","Defeated Vile at Sigma Palace."
"VILESIGMADEFEATED_TITLE","Hope remains"
"GATEWAYFIESTA_DISC","Survived through the hardest challenge in Gateway."
"GATEWAYFIESTA_TITLE","Desperados"
"COPYBUSTERONLY_DISC","Defeated the Impostor without using special weapons."
"COPYBUSTERONLY_TITLE","Your world has Decayed"
"COPYNAKED_DISC","Defeated the Imposter without equipping any upgrades."
"COPYNAKED_TITLE","Put a stop to what?"
"COPYNODAMAGE_DISC","Defeated the Imposter without taking damage."
"COPYNODAMAGE_TITLE","I am indeed Sigma"
"COPYDEFEATED_DISC","Defeated the Impostor."
"COPYDEFEATED_TITLE","Time for our Final Showdown"
"SIGMANAKED_DISC","Defeated Sigma without equipping any upgrades."
"SIGMANAKED_TITLE","Ruler of the New World"
"SIGMANODAMAGE_DISC","Defeated Sigma without taking damage."
"SIGMANODAMAGE_TITLE","Our Meeting was Fated"
"LUMINENAKED_DISC","Defeated the Final Boss without equipping any upgrades."
"LUMINENAKED_TITLE","I supose you're satisfied"
"LUMINENODAMAGE_DISC","Defeated the Final Boss without taking damage."
"LUMINENODAMAGE_TITLE","Of course I'm Ok"
"SERAPHNAKED_DISC","Defeated the Final Boss Second Phase without equipping any upgrades."
"SERAPHNAKED_TITLE","Do you have what it takes?"
"SERAPHNODAMAGE_DISC","Defeated the Final Boss Second Phase without taking damage."
"SERAPHNODAMAGE_TITLE","Accursed Cycle of Aggression"
"SERAPHDEFEATED_DISC","Beat the game."
"SERAPHDEFEATED_TITLE","Tools of the Old World"
"SECRET1DEFEATED_DISC","Defeated the Secret Boss."
"SECRET1DEFEATED_TITLE","Corridors of Time"
"SECRET2DEFEATED_DISC","Defeated Secret Boss #2."
"SECRET2DEFEATED_TITLE","Cycle of the Six Existences"
"SECRET3DEFEATED_DISC","Defeated Secret Boss #3."
"SECRET3DEFEATED_TITLE","Dual Destinies"
"COLLECTBLACKZERO_TITLE","Maverick's Worst Nightmare"
"COLLECTBLACKZERO_DISC","Unlock Black Armor. Go, my greatest Masterpiece, you are the strongest robot of all."
"COLLECTWHITEAXL_TITLE","Unknown Power"
"COLLECTWHITEAXL_DISC","Unlock White Armor. Despite everything, it is still you......right?"
"COLLECTULTIMATEX_TITLE","For Everlasting Peace"
"COLLECTULTIMATEX_DISC","Unlock the Ultimate Armor. Go now Maverick Hunter, you are humanity's last hope."
"ZERODEFEATED_DISC","Defeat Zero in his awakened Form."
"ZERODEFEATED_TITLE","The Decisive Battle"
"STAGE_DC","Stage"
"BOSS_DC","Boss"
"COMPLETION_DC","Completed"
"NOAHSPARK_STAGE","Noah's Park"
"NOAHSPARK_NAME","King Crabs-Y"
"SUNFLOWER_STAGE","Troia Base"
"SUNFLOWER_NAME","Optic Sunflower"
"ANTONION_STAGE","Primrose"
"ANTONION_NAME","Gravity Antonion"
"MANTIS_STAGE","Pitch Black"
"MANTIS_NAME","Dark Mantis"
"MANOWAR_STAGE","Dynasty"
"MANOWAR_NAME","Gigabolt Manowar"
"PANDA_STAGE","Booster Forest"
"PANDA_NAME","Bamboo Pandamonium"
"TRILOBYTE_STAGE","Metal Valley"
"TRILOBYTE_NAME","Earthrock Trilobyte"
"YETI_STAGE","Central White"
"YETI_NAME","Avalanche Yeti"
"ROOSTER_STAGE","Inferno"
"ROOSTER_NAME","Burn Rooster"
"JAKOB_STAGE","Jakob Elevator"
"GATEWAY_STAGE","Gateway"
"SIGMA_STAGE","Sigma Palace"
"HERMESHEAD1","X... I thought something like this might happen someday, so I've prepared parts for you."
"HERMESHEAD2","This time, I want you to try Head Parts H."
"HERMESHEAD3","This part will increase your weapons' charge speed when equipped."
"HERMESHEAD4","Board the capsule to equip this new ability, X."
"HERMESBODY1","X... I thought something like this might happen someday, so I've prepared parts for you."
"HERMESBODY2","Here... Try Body Parts H."
"HERMESBODY3","With this part equipped, you will be able to heal damage taken by hitting or destroying enemies."
"HERMESBODY4","Board the capsule to equip this new ability, X."
"HERMESARMS1","X... I thought something like this might happen someday, so I've prepared parts for you."
"HERMESARMS2","Here, try these Buster Parts H."
"HERMESARMS3","Equipping this part will grant you a Spread Shot Charge Attack."
"HERMESARMS4","Your weapons will also not consume energy when fired, except when you perform a Charge Shot."
"HERMESARMS5","Board the capsule to equip this new ability, X."
"HERMESLEGS1","X... I thought something like this might happen someday, so I've prepared parts for you."
"HERMESLEGS2","Try out these Foot Parts H."
"HERMESLEGS3","It will grant your dash invincibility to enemy attacks, both on ground and in the air."
"HERMESLEGS4","Board the capsule to equip this new ability, X."
"ICARUSHEAD1","X... I thought something like this might happen someday, so I've prepared parts for you."
"ICARUSHEAD2","Here you are... Head Parts I."
"ICARUSHEAD3","With this part equipped, you will cause damage to enemies by jumping near them."
"ICARUSHEAD4","Board the capsule to equip this new ability, X."
"ICARUSBODY1","X... I thought something like this might happen someday, so I've prepared parts for you."
"ICARUSBODY2","This time, I want you to try out Body Parts I."
"ICARUSBODY3","If you equip this, you will take less damage than you normally would, and enemies will not be able to knock you back."
"ICARUSBODY4","Board the capsule to equip this new ability, X."
"ICARUSARMS1","X... I thought something like this might happen someday, so I've prepared parts for you."
"ICARUSARMS2","I have new parts for you... They're Buster Parts I."
"ICARUSARMS3","Equip this part, and you'll gain the ability to fire a powerful Laser Charge Shot."
"ICARUSARMS4","Also, when using your special weapons when you Charge them, they will not consume energy."
"ICARUSARMS5","Board the capsule to equip this new ability, X."
"ICARUSLEGS1","X... I thought something like this might happen someday, so I've prepared parts for you."
"ICARUSLEGS2","These new parts... They're Foot Parts I."
"ICARUSLEGS3","Equip this part to jump much higher than usual and air dash twice."
"ICARUSLEGS4","Board the capsule to equip this new ability, X."
"INTRO2-1","This is X! I'm close to the site of the accident near the Orbital Elevator!"
"INTRO2-2","The place is crawling with Mavericks!"
"INTRO2-3","I'll make my way to the site. Get ready to send rescue mechaniloids on my signal!"
"INTRO2-4","Roger!"
"INTRO2-5","S-Sigma...!?"
"INTRO2-6","To protect ourselves from damage during the accident..."
"INTRO2-7","We had to copy a sturdy Sigma body."
"INTRO2-8","We New Generation Reploids enjoy complete and total immunity to all viruses."
"INTRO2-9","So even copying something as dangerous as Sigma provides no risk."
"INTRO2-10","Who are you?"
"INTRO2-11","I'm Lumine..."
"INTRO2-12","I'm the director in charge of the elevator and the Jakob Project."
"INTRO2-13","I see. Hold tight, I'll signal my team to send in the rescue-"
"INTRO3-1","How nice to see you again, X!"
"INTRO3-2","Vile?!"
"INTRO3-3","Ha ha ha... I'd love to stay and play with you, but I'm afraid I have too much work to do..."
"INTRO3-4","You're a wanted criminal! Stop and let Lumine go!"
"INTRO3-5","Not a chance. The Orbital Elevator is under our control now..."
"INTRO3-6","Just what do you plan to do?!"
"INTRO3-7","It begins now, X. A new world will be born!"
"INTRO3-8","Ha ha ha ha ha ha ha ha ha ha!"
"ANTONION1","Gravity Antonion... You used to be an incredible scientist. What happened?"
"ANTONION2","Incredible scientist? Who are you to say such things?"
"ANTONION3","I don't pursue my research just to earn praise from the likes of you."
"ANTONION4","Did he... Did Sigma make you go Maverick?"
"ANTONION5","Maverick? Once again, you attach labels to me. What arrogance!"
"ANTONION6","At any rate, if you choose to stand in my way, I'll destroy you!"
"MANOWAR1","Gigabolt Manowar!"
"MANOWAR2","Return Abel City's energy supply to normal! If you don't, the city will be destroyed!"
"MANOWAR3","... ... ..."
"MANOWAR4","...I'm not doing anything wrong... Who are you, anyway?"
"MANOWAR5","I'm Mega Man X. I'm a Maverick Hunter."
"MANOWAR6","Has Sigma made you go Maverick?"
"MANOWAR7","I'm no Maverick... I'm in complete control of myself and my actions..."
"MANOWAR8","I'm working hard to realize our dream of a new world...!"
"MANOWAR9","You've gone Maverick! I'll have to stop you!"
"MANTIS1","Hey! What's a Maverick Hunter doing here?"
"MANTIS2","Dark Mantis... You've gone Maverick. I'm putting an end to your weapons production."
"MANTIS3","We New Generation Reploids are designed so that we can't go Maverick, kid."
"MANTIS4","Then why are you making weapons? Is Sigma controlling you?"
"MANTIS5","And what exactly is controlling you, X? Your precious \""justice\""? Is that it?"
"MANTIS6","Dark Mantis... Your actions are those of a Maverick!"
"MANTIS7","Not surprisingly, you old style Reploids really don't understand a thing."
"MANTIS8","Let my blade show you how misguided your so called \""justice\"" really is!"
"PANDA1","Did you know that the earliest form of rocketry was missiles used for war?"
"PANDA2","All of history has been spent making things whose sole purpose is to destroy. Missiles... Reploids..."
"PANDA3","What are you talking about? No Reploid wishes for destruction."
"PANDA4","You mean to tell me you've never thought such things yourself, X?"
"PANDA5","That this world wishes for destruction and nothing more?"
"PANDA6","Is that what Sigma believes? But... That's..."
"PANDA7","I know what you are going to say."
"PANDA8","You think that idea to be Maverick, don't you?"
"PANDA9","That's why we are forced to fight, you see."
"ROOSTER1","Do you know what this place is, X?"
"ROOSTER2","It's the borderline waste disposal center. Where garbage is pressurized and burned..."
"ROOSTER3","Burn Rooster, why have you started a riot? Is Sigma controlling you?"
"ROOSTER4","This is no ordinary riot. This is revenge for all the Reploids you labeled Maverick and threw onto this scrap heap!"
"ROOSTER5","Mavericks bring only disaster and destruction! We have no choice but to stop them!"
"ROOSTER6","This is what you mean when you speak of justice? It's you who should be scrapped!"
"ROOSTER7","What does Sigma plan to do? You know, he's just using you. Nothing more!"
"ROOSTER8","Using me? If that's the price I have to pay to bring about the new world, so be it!"
"ROOSTER9","There's no place for Reploids like you in the new world we will create!"
"SUNFLOWER1","X... Since you made it this far, you must have figured it out."
"SUNFLOWER2","You must have an inkling as to what we're after here."
"SUNFLOWER3","You Mavericks... You're under Sigma's control, aren't you?"
"SUNFLOWER4","Sorry to disappoint, but no one can control us."
"SUNFLOWER5","We may not be the good guys, but we're no monsters."
"SUNFLOWER6","No one has the right to put a stop to our plans!"
"TRILOBYTE1","Do you realize that the ore we mine here is used in space development?"
"TRILOBYTE2","Sigma must be behind this! What does he want with these minerals?"
"TRILOBYTE3","Even if I explained, I doubt a brainless Maverick Hunter like yourself could understand."
"TRILOBYTE4","I'll bury you old heaps of junk right here!"
"YETI1","I will not let you get in our way."
"YETI2","Avalanche Yeti! What do you think you're doing?"
"YETI3","We no longer considers your world to be ideal. You old model Reploids have no business here."
"YETI4","Get out of here, X!"
"YETI5","No way! If we don't repair this system, the world's ecological balance is at risk!"
"YETI6","Hmph. It's too late, X. "
"YETI7","You and your puny Maverick Hunters have lost!"
"VILE1-1","Vile!"
"VILE1-2","Where have you taken Lumine? Do you plan to hinder the Jakob Project?"
"VILE1-3","Reunited after all this time apart, and all you do is bombard me with questions?"
"VILE1-4","Don't worry about our little friend. Lumine is being taken care of. Ha ha ha..."
"VILE1-5","The Orbital Elevator is too important to us to hurt the one who operates it."
"VILE1-6","Don't you know what you're doing?"
"VILE1-7","The Jakob Project is an important joint venture between humans and reploids!"
"VILE1-8","Chill out, X..."
"VILE1-9","Let's enjoy this little reunion, OK?"
"VILE2-1","Vile!"
"VILE2-2","I'm through chasing you down. Let Lumine go. Now!"
"VILE2-3","Ha ha ha... Lumine? Always the positive thinker, aren't you?"
"VILE2-4","Look around you, fool! Your world has already begun to crumble! Are you so dim as to think you're in a position to make demands?"
"VILE2-5","The world as you know it? Mavericks? Kiss it all goodbye!"
"VILE2-6","Mayhem, doom and destruction! That's what we were built for!"
"VILE3-1","Ha ha ha! You're struggling awful hard for a world that's doomed!"
"VILE3-2","So, it was Sigma pulling the strings the whole time, wasn't it, Vile?"
"VILE3-3","Ha ha ha... Are you starting to finally piece it together, X? "
"VILE3-4","The Orbital Elevator... the energy... the space minerals... the rocket data..."
"VILE3-5","The route to space... the thing that's allowed this world to survive this long... is ours!"
"VILE3-6","At times like this, how important is your precious term \""Maverick\""?"
"VILE3-7","I don't care what you plan to do. I'll put a stop to it no matter what!"
"VILE4-1","So, you still refuse to give up your struggle, eh?"
"VILE4-2","Are you so blind that you've somehow convinced yourself that hope remains?"
"VILE4-3","As long as I'm standing, there's hope!"
"VILE4-4","I'll defeat both you and Sigma!"
"VILE4-5","Ha ha ha... I suppose it'd be a waste to just destroy you now..."
"VILE4-6","Maybe I'll wait till the last possible moment and have a little fun with this!"
"COPYSIGMA1","Sigma!?"
"COPYSIGMA2","I shall allow you to call me by that name, for I am indeed Sigma."
"COPYSIGMA3","You plan to take revenge on every Reploid... Every human... In the entire world?"
"COPYSIGMA4","You're completely mad! I'm putting a stop to this right now!"
"COPYSIGMA5","Put a stop to what? We already control the moon."
"COPYSIGMA6","That old world has decayed and rotted. We will usher in a new world to replace it!"
"COPYSIGMA7","But, before that, X, perhaps it's time for our final showdown!"
"SIGMA1","Welcome, Maverick Hunter. It's good to see you again, X."
"SIGMA2","Our meeting was fated, X. Our destinies come to a head right here, right now."
"SIGMA3","The time has come to usher in a new age. And your destruction, X, is an essential part of it."
"SIGMA4","..."
"SIGMA5","Your dedication to what you refer to as \""justice\"" is what first got me thinking..."
"SIGMA6","I realized the imperfection of this world, and decided I must change it."
"SIGMA7","Don't blame me for your insanity, Sigma!"
"SIGMA8","Ha ha ha... it's too late, X. The gears are in motion. There's no turning back now."
"SIGMA9","The New Generation Reploids were the ones, X. My children are responsible for all of this..."
"SIGMA10","Children? What are you talking about!?"
