"key","it"
"XDRIVEDODGE_DISC","Hai usato XDrive durante un Attacco Disperato."
"XDRIVEDODGE_TITLE","Dribbling da Campione"
"GIGACRUSHKILL_DISC","Hai finito un boss con il Giga Crash."
"GIGACRUSHKILL_TITLE","GOLAZO!"
"ANTONIONBUSTERONLY_DISC","Hai sconfitto Formica Pesante solo con il limoncello."
"ANTONIONBUSTERONLY_TITLE","Ma Mi Stai A Sentire?"
"ANTONIONNAKED_DISC","Hai sconfitto Formica Pesante senza upgrade."
"ANTONIONNAKED_TITLE","Come Si Esce Da Qui?"
"ANTONIONNODAMAGE_DISC","Hai sconfitto Formica Pesante senza prendere danni."
"ANTONIONNODAMAGE_TITLE","Scienziato? FORMICA, Capito?"
"ANTONIONNOROTATION_DISC","Sei arrivato alla fine di Primrose senza ruotare il livello e senza morire."
"ANTONIONNOROTATION_TITLE","Portale"
"MANOWARBUSTERONLY_DISC","Hai sconfitto Medusa Gigavolt solo con il limoncello."
"MANOWARBUSTERONLY_TITLE","Scarica Elettrica"
"MANOWARNAKED_DISC","Hai sconfitto Medusa Gigavolt senza upgrade."
"MANOWARNAKED_TITLE","Ma Tu Chi Sei?"
"MANOWARNODAMAGE_DISC","Hai sconfitto Medusa Gigavolt senza prendere danni."
"MANOWARNODAMAGE_TITLE","Blackout Completo"
"MANOWARDOOREXPLODED_DISC","Hai sfondato la porta a Dynasty."
"MANOWARDOOREXPLODED_TITLE","Entrata alla Singham"
"MANTISBUSTERONLY_DISC","Hai sconfitto Mantide Oscura solo con il limoncello."
"MANTISBUSTERONLY_TITLE","La Mia Lama Parlera'"
"MANTISNAKED_DISC","Hai sconfitto Mantide Oscura senza upgrade."
"MANTISNAKED_TITLE","Ladro Nell'Ombra"
"MANTISNODAMAGE_DISC","Hai sconfitto Mantide Oscura senza prendere danni."
"MANTISNODAMAGE_TITLE","Sgamato!"
"MANTISLIT_DISC","Hai portato la luce nell'oscurita' di Pitch Black."
"MANTISLIT_TITLE","Accendi La Luce!"
"MANTISUNDETECTED_DISC","Hai evitato tutti i fari in Pitch Black."
"MANTISUNDETECTED_TITLE","Ombra Silenziosa"
"PANDABUSTERONLY_DISC","Hai sconfitto Panda Bambu' solo con il limoncello."
"PANDABUSTERONLY_TITLE","Panda a Dieta"
"PANDANAKED_DISC","Hai sconfitto Panda Bambu' senza upgrade."
"PANDANAKED_TITLE","Cari Amici..."
"PANDANODAMAGE_DISC","Hai sconfitto Panda Bambu' senza prendere danni."
"PANDANODAMAGE_TITLE","Messo a Dieta"
"PANDARIDEREACHED_DISC","Sei arrivato alla fine di Booster Forest con la Ride Armor."
"PANDARIDEREACHED_TITLE","Vespa Ride"
"ROOSTERBUSTERONLY_DISC","Hai sconfitto Gallo Arrosto solo con il limoncello."
"ROOSTERBUSTERONLY_TITLE","POLLO ALLA GRIGLIA!"
"ROOSTERNAKED_DISC","Hai sconfitto Gallo Arrosto senza upgrade."
"ROOSTERNAKED_TITLE","GALLOOOO!"
"ROOSTERNODAMAGE_DISC","Hai sconfitto Gallo Arrosto senza prendere danni."
"ROOSTERNODAMAGE_TITLE","BRUCIA TUTTO!"
"ROOSTERFROZEN_DISC","Hai fermato la lava nell'Inferno."
"ROOSTERFROZEN_TITLE","Gelato al Vulcano"
"SUNFLOWERBUSTERONLY_DISC","Hai sconfitto Girasole Ottico solo con il limoncello."
"SUNFLOWERBUSTERONLY_TITLE","Si Va Avanti, Che Vuoi Fare"
"SUNFLOWERNAKED_DISC","Hai sconfitto Girasole Ottico senza upgrade."
"SUNFLOWERNAKED_TITLE","Sempre la Stessa Minestra"
"SUNFLOWERNODAMAGE_DISC","Hai sconfitto Girasole Ottico senza prendere danni."
"SUNFLOWERNODAMAGE_TITLE","Stessa Storia di Sempre"
"SUNFLOWERGOTSSSRANK_DISC","Hai ottenuto S Rank in tutte le sfide in un singolo run. Bravo!"
"SUNFLOWERGOTSSSRANK_TITLE","Laurea con Lode"
"TRILOBYTEBUSTERONLY_DISC","Hai sconfitto Scarafaggio di Terra solo con il limoncello."
"TRILOBYTEBUSTERONLY_TITLE","Spaccapietre"
"TRILOBYTENAKED_DISC","Hai sconfitto Scarafaggio di Terra senza upgrade."
"TRILOBYTENAKED_TITLE","Vecchio Rottame"
"TRILOBYTENODAMAGE_DISC","Hai sconfitto Scarafaggio di Terra senza prendere danni."
"TRILOBYTENODAMAGE_TITLE","Senza Cervello"
"YETIBUSTERONLY_DISC","Hai sconfitto Yeti Valanga solo con il limoncello."
"YETIBUSTERONLY_TITLE","Gelato Servito!"
"YETINAKED_DISC","Hai sconfitto Yeti Valanga senza upgrade."
"YETINAKED_TITLE","Siamo Vecchi Modelli"
"YETINODAMAGE_DISC","Hai sconfitto Yeti Valanga senza prendere danni."
"YETINODAMAGE_TITLE","Nemmeno il Freddo Mi Tocca"
"YETIDOOREXPLODED_DISC","Hai sfondato la porta a Central White."
"YETIDOOREXPLODED_TITLE","Gelato Express"
"VILEJAKOBBUSTERONLY_DISC","Hai sconfitto Vile solo con il limoncello."
"VILEJAKOBBUSTERONLY_TITLE","Fatto e Finito!"
"VILEJAKOBNAKED_DISC","Hai sconfitto Vile senza upgrade."
"VILEJAKOBNAKED_TITLE","Salito a Piedi"
"VILEJAKOBNODAMAGE_DISC","Hai sconfitto Vile senza prendere danni."
"VILEJAKOBNODAMAGE_TITLE","Anche l'Asino Si Vergogna"
"VILEDEFEATEDTWICE_DISC","Hai sconfitto Vile due volte."
"VILEDEFEATEDTWICE_TITLE","Ci Risiamo"
"VILEDEVILBEARDEFEATED_DISC","Hai sconfitto Devil Bear prima della fine."
"VILEDEVILBEARDEFEATED_TITLE","Ma Che Orso E'?"
"VILEJAKOBDEFEATED_DISC","Hai sconfitto Vile in cima all'Ascensore Orbitale."
"VILEJAKOBDEFEATED_TITLE","Schiaffo in Vetta"
"VILESIGMADEFEATED_DISC","Hai sconfitto Vile al Palazzo di Sigma."
"VILESIGMADEFEATED_TITLE","C'e' Ancora Speranza"
"GATEWAYFIESTA_DISC","Sei sopravvissuto alla sfida piu' difficile del Gateway."
"GATEWAYFIESTA_TITLE","FESTA CON VINO!"
"COPYBUSTERONLY_DISC","Hai sconfitto l'Impostore solo con il limoncello."
"COPYBUSTERONLY_TITLE","Among Us dal Vivo"
"COPYNAKED_DISC","Hai sconfitto l'Impostore senza upgrade."
"COPYNAKED_TITLE","Cosplay Test"
"COPYNODAMAGE_DISC","Hai sconfitto l'Impostore senza prendere danni."
"COPYNODAMAGE_TITLE","Sono Io, Sigma!"
"COPYDEFEATED_DISC","Hai sconfitto l'Impostore."
"COPYDEFEATED_TITLE","Sigma Falso Eliminato"
"SIGMANAKED_DISC","Hai sconfitto Sigma senza upgrade."
"SIGMANAKED_TITLE","Zio Ubriaco Sconfitto"
"SIGMANODAMAGE_DISC","Hai sconfitto Sigma senza prendere danni."
"SIGMANODAMAGE_TITLE","Lo Zio Non Ti Tocca"
"LUMINENAKED_DISC","Hai sconfitto il Boss Finale senza upgrade."
"LUMINENAKED_TITLE","Utente Premium ChatGPT"
"LUMINENODAMAGE_DISC","Hai sconfitto il Boss Finale senza prendere danni."
"LUMINENODAMAGE_TITLE","Anche L'IA e' Caduta"
"SERAPHNAKED_DISC","Hai sconfitto la Fase 2 del Boss Finale senza upgrade."
"SERAPHNAKED_TITLE","Crediti Esauriti"
"SERAPHNODAMAGE_DISC","Hai sconfitto la Fase 2 del Boss Finale senza prendere danni."
"SERAPHNODAMAGE_TITLE","Rinnova L'Abbonamento"
"SERAPHDEFEATED_DISC","Hai finito tutto il gioco."
"SERAPHDEFEATED_TITLE","CHATGPT 3.0 TI RINGRAZIA :D"
"SECRET1DEFEATED_DISC","Hai sconfitto il Boss Segreto."
"SECRET1DEFEATED_TITLE","Boss Nascosto!"
"SECRET2DEFEATED_DISC","Hai sconfitto il Boss Segreto #2."
"SECRET2DEFEATED_TITLE","Secondo Boss Segreto"
"SECRET3DEFEATED_DISC","Hai sconfitto il Boss Segreto #3."
"SECRET3DEFEATED_TITLE","MAMMA MIA CHE BOTTA!"
"COLLECTBLACKZERO_TITLE","Vestito da Sera"
"COLLECTBLACKZERO_DISC","Armatura Nera sbloccata. Vai campione, diventa la forma di vita suprema...aspetta, franchise sbagliata."
"COLLECTWHITEAXL_TITLE","Vestito Bianco da Matrimonio"
"COLLECTWHITEAXL_DISC","Armatura Bianca sbloccata. Adesso anche il genere e' confuso?"
"COLLECTULTIMATEX_TITLE","E' Finita Ragazzi"
"COLLECTULTIMATEX_DISC","Ultimate Armor sbloccata. Il gioco e' in easy mode adesso. Nova Strike e ciao."
"ZERODEFEATED_DISC","Hai sconfitto Zero in forma steroidi, ma tu sei ancora calvo."
"ZERODEFEATED_TITLE","Zero, DI NUOVO?"
"STAGE_DC","Livello"
"BOSS_DC","Capo"
"COMPLETION_DC","Completato"
"NOAHSPARK_STAGE","Piazza del Colosseo"
"NOAHSPARK_NAME","Re dei Granchi"
"SUNFLOWER_STAGE","Campo di Girasoli"
"SUNFLOWER_NAME","Girasole Ottico"
"ANTONION_STAGE","Via della Formica"
"ANTONION_NAME","Formica Pesante"
"MANTIS_STAGE","Vicolo Buio"
"MANTIS_NAME","Mantide Oscura"
"MANOWAR_STAGE","Centrale Elettrica"
"MANOWAR_NAME","Medusa Gigavolt"
"PANDA_STAGE","Bosco di Bambu'"
"PANDA_NAME","Panda Bambu'"
"TRILOBYTE_STAGE","Valle delle Pietre"
"TRILOBYTE_NAME","Scarafaggio di Terra"
"YETI_STAGE","Monte Bianco"
"YETI_NAME","Yeti Valanga"
"ROOSTER_STAGE","Pizzeria Inferno"
"ROOSTER_NAME","Gallo Arrosto"
"JAKOB_STAGE","Ascensore per il Paradiso"
"GATEWAY_STAGE","Porta dell'Inferno"
"SIGMA_STAGE","Cantina dello Zio"
"HERMESHEAD1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"HERMESHEAD2","Prova il Casco H, ragazzo mio."
"HERMESHEAD3","Questo pezzo accelera la carica del buster."
"HERMESHEAD4","Entra nella capsula, dai che il caffe' si fredda."
"HERMESBODY1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"HERMESBODY2","Ecco il Corpo H."
"HERMESBODY3","Colpendo i nemici ti curi. Come la mamma che ti fa la pasta quando stai male."
"HERMESBODY4","Entra nella capsula, dai che il caffe' si fredda."
"HERMESARMS1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"HERMESARMS2","Prova il Buster H."
"HERMESARMS3","Ottieni un colpo caricato a ventaglio."
"HERMESARMS4","Le armi non consumano energia, tranne il colpo caricato."
"HERMESARMS5","Entra nella capsula, dai che il caffe' si fredda."
"HERMESLEGS1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"HERMESLEGS2","Prova i Piedi H."
"HERMESLEGS3","Sarai invincibile durante il dash, sia a terra che in aria."
"HERMESLEGS4","Entra nella capsula, dai che il caffe' si fredda."
"ICARUSHEAD1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"ICARUSHEAD2","Ecco il Casco I."
"ICARUSHEAD3","Saltando vicino ai nemici farai danno."
"ICARUSHEAD4","Entra nella capsula, dai che il caffe' si fredda."
"ICARUSBODY1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"ICARUSBODY2","Prova il Corpo I, ti stara' benissimo."
"ICARUSBODY3","Meno danni e nessun rinculo. Sei un muro come Cannavaro."
"ICARUSBODY4","Entra nella capsula, dai che il caffe' si fredda."
"ICARUSARMS1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"ICARUSARMS2","Ecco il Buster I, l'ho trovato in saldo."
"ICARUSARMS3","Ottieni un potente colpo laser caricato."
"ICARUSARMS4","Le armi speciali caricate non consumano energia."
"ICARUSARMS5","Entra nella capsula, dai che il caffe' si fredda."
"ICARUSLEGS1","X... Sapevo che sarebbe successo un giorno, quindi ho preparato dei pezzi per te."
"ICARUSLEGS2","Ecco i Piedi I."
"ICARUSLEGS3","Salto piu' alto e doppio dash aereo."
"ICARUSLEGS4","Entra nella capsula, dai che il caffe' si fredda."
"INTRO2-1","Qui e' X! Sono vicino al luogo dell'incidente dell'Ascensore Orbitale!"
"INTRO2-2","Il posto e' pieno di Maverick!"
"INTRO2-3","Sto entrando. Mandate i soccorsi al mio segnale!"
"INTRO2-4","Ricevuto!"
"INTRO2-5","S-Sigma...!?"
"INTRO2-6","Per proteggerci dai danni durante l'incidente..."
"INTRO2-7","Abbiamo dovuto copiare un robusto corpo Sigma."
"INTRO2-8","Noi Reploid Nuova Generazione siamo immuni a tutti i virus."
"INTRO2-9","Quindi copiare anche Sigma non e' un rischio."
"INTRO2-10","Chi sei tu?"
"INTRO2-11","Sono Lumine..."
"INTRO2-12","Sono il direttore dell'ascensore e del Progetto Jakob."
"INTRO2-13","Capisco. Resisti, chiamo la squadra di soccorso per-"
"INTRO3-1","Che bello rivederti, X!"
"INTRO3-2","Vile?!"
"INTRO3-3","Ah ah ah... Mi piacerebbe restare a giocare, ma ho troppo lavoro..."
"INTRO3-4","Sei un criminale ricercato! Fermati e lascia andare Lumine!"
"INTRO3-5","Neanche per sogno. L'Ascensore Orbitale e' sotto il nostro controllo..."
"INTRO3-6","Cosa hai intenzione di fare?!"
"INTRO3-7","Comincia adesso, X. Un nuovo mondo nascera'!"
"INTRO3-8","Ah ah ah ah ah ah ah ah ah ah!"
"ANTONION1","Formica Pesante... Eri uno scienziato incredibile. Che e' successo?"
"ANTONION2","Scienziato? Ma chi sei tu per dire certe cose?"
"ANTONION3","Non faccio ricerca per ricevere complimenti da gente come te."
"ANTONION4","Forse... Sigma ti ha fatto diventare Maverick?"
"ANTONION5","Maverick? Ancora con le etichette? Che arroganza!"
"ANTONION6","Comunque, se ti metti in mezzo, ti distruggo!"
"MANOWAR1","Medusa Gigavolt!"
"MANOWAR2","Riporta la corrente alla normalita'! Altrimenti la citta' sara' distrutta!"
"MANOWAR3","... ... ..."
"MANOWAR4","...Non sto facendo niente di male... Tu chi sei?"
"MANOWAR5","Sono Mega Man X. Sono un Cacciatore di Maverick."
"MANOWAR6","Sigma ti ha fatto diventare Maverick?"
"MANOWAR7","Non sono un Maverick... Ho il pieno controllo di me stesso..."
"MANOWAR8","Sto lavorando sodo per realizzare il sogno di un nuovo mondo!"
"MANOWAR9","Sei diventato Maverick! Devo fermarti!"
"MANTIS1","Ehi! Cosa ci fa un Cacciatore di Maverick qui?"
"MANTIS2","Mantide Oscura... Sei un Maverick. Sto chiudendo la tua produzione di armi."
"MANTIS3","Noi Reploid Nuova Generazione non possiamo diventare Maverick, ragazzino."
"MANTIS4","Allora perche' fai armi? Sigma ti controlla?"
"MANTIS5","E cosa controlla te, X? La tua cara """"giustizia""""? Eh?"
"MANTIS6","Mantide Oscura... Le tue azioni sono quelle di un Maverick!"
"MANTIS7","Voi vecchi modelli non capite proprio niente."
"MANTIS8","La mia lama ti mostrera' quanto e' stupida la tua """"giustizia""""!"
"PANDA1","Sapevi che le prime forme di razzeria erano missili di guerra?"
"PANDA2","Tutta la storia e' stata spesa a creare cose il cui unico scopo e' distruggere. Missili... Reploid..."
"PANDA3","Di cosa parli? Nessun Reploid desidera la distruzione."
"PANDA4","Non hai mai pensato certe cose tu stesso, X?"
"PANDA5","Che questo mondo desidera solo la distruzione?"
"PANDA6","E' quello che crede Sigma? Ma... Questo e'..."
"PANDA7","So gia' cosa stai per dire."
"PANDA8","Pensi che questa sia una mentalita' Maverick, vero?"
"PANDA9","Per questo siamo costretti a combattere, capisci."
"ROOSTER1","Sai cos'e' questo posto, X?"
"ROOSTER2","E' il centro smaltimento rifiuti. Dove la spazzatura viene pressata e bruciata..."
"ROOSTER3","Gallo Arrosto, perche' hai iniziato una rivolta? Sigma ti controlla?"
"ROOSTER4","Questa non e' una rivolta qualsiasi! E' la vendetta per tutti i Reploid che avete etichettato Maverick e buttato in questo rottamaio!"
"ROOSTER5","I Maverick portano solo disastri! Non abbiamo scelta, dobbiamo fermarli!"
"ROOSTER6","Questa e' la tua giustizia? Dovresti essere TU rottamato!"
"ROOSTER7","Cosa vuole fare Sigma? Ti sta solo usando!"
"ROOSTER8","Usarmi? Se questo e' il prezzo per il nuovo mondo, va bene cosi'!"
"ROOSTER9","Nel nuovo mondo non c'e' posto per Reploid come te!"
"SUNFLOWER1","X... Sei arrivato fin qui, avrai capito."
"SUNFLOWER2","Avrai un'idea di cosa cerchiamo qui."
"SUNFLOWER3","Voi Maverick... Siete sotto il controllo di Sigma, vero?"
"SUNFLOWER4","Spiacente, ma nessuno ci controlla."
"SUNFLOWER5","Forse non siamo i buoni, ma non siamo mostri."
"SUNFLOWER6","Nessuno ha il diritto di fermare i nostri piani!"
"TRILOBYTE1","Lo sai che i minerali che estraiamo qui servono per lo sviluppo spaziale?"
"TRILOBYTE2","Sigma deve essere dietro a questo! Cosa vuole con questi minerali?"
"TRILOBYTE3","Anche se te lo spiegassi, un Cacciatore senza cervello come te non capirebbe."
"TRILOBYTE4","Vi sotterro qui, vecchi rottami!"
"YETI1","Non ti lascero' metterti in mezzo."
"YETI2","Yeti Valanga! Cosa pensi di fare?"
"YETI3","Non consideriamo piu' il vostro mondo ideale. Voi vecchi modelli non avete niente da fare qui."
"YETI4","Vattene, X!"
"YETI5","Neanche per sogno! Se non ripariamo il sistema, l'equilibrio ecologico e' a rischio!"
"YETI6","Hmph. E' troppo tardi, X."
"YETI7","Tu e i tuoi piccoli Cacciatori avete perso!"
"VILE1-1","Vile!"
