"key","br"
"YETI_AXL_WPNMENU","Estoura Ouvido"
"ROOSTER_AXL_WPNMENU","Lança Chaach"
"SUNFLOWER_ZERO_WPNMENU","TENSHOUHA! OOOOOH!"
"ANTONION_ZERO_WPNMENU","Tio Razão"
"MANTIS_ZERO_WPNMENU","Tá 100%"
"MANOWAR_ZERO_WPNMENU","Ai Frozen"
"PANDA_ZERO_WPNMENU","Que olhar torso"
"TRILOBYTE_ZERO_WPNMENU","Rei Cordão"
"YETI_ZERO_WPNMENU","Que hora é o Show"
"ROOSTER_ZERO_WPNMENU","Em Frojin"
"SUNFLOWER_ZERO_DISC","Agacha + Tiro 2"
"ANTONION_ZERO_DISC","Tiro 2"
"MANTIS_ZERO_DISC","Tiro 2 (No Ar)"
"MANOWAR_ZERO_DISC","Dash + Tiro 2"
"PANDA_ZERO_DISC","Dir./Esq. + Tiro 2"
"TRILOBYTE_ZERO_DISC","Deixa Desligado :)"
"YETI_ZERO_DISC","Cima + Tiro 2"
"ROOSTER_ZERO_DISC","Agacha + Tiro 2"
"ZERO_WPNMENU","Hu Ha Hu!"
"BFAN_WPNMENU","Mai Shiranui"
"DGLAIVE_WPNMENU","Lança Grossa"
"TBREAKER_WPNMENU","Piko Piko"
"KKNUCKLE_WPNMENU","Knuckles"
"VHANGER_WPNMENU","Harpuia"
"SIGMABLADE_WPNMENU","De A ate Z"
"YOUGOT_TITLE","Você Afanou"
"SUNFLOWER_WEAPON","Bola do Kiko"
"ANTONION_WEAPON","Black H.Bomb"
"MANTIS_WEAPON","Racismo"
"MANOWAR_WEAPON","Ai! Ai!"
"PANDA_WEAPON","KABOOM!"
"TRILOBYTE_WEAPON","Pedras"
"YETI_WEAPON","Sorvete!"
"ROOSTER_WEAPON","Brasil"
"OPTIONS_TITLE","CUIDADO PRA NÃO ZOAR"
"LANGUAGE_OPTION","Idioma"
"BOSS_REMIX_OPTION","SnesTalgia"
"REMIX_OPTION","SnesTalgia2"
"DT_DASH_OPTION","Isso n é jogo de luta carai"
"SKIP_DIAG_OPTION","Não gosto de ler"
"CHARGE_OPTION","ficar doido com charge"
"ACHIEV_OPTION","Isso não é RA carai"
"MUSIC_OPTION","Pôe no máximo"
"SOUND_OPTION","Zoada"
"VSync","VSync pra que mesmo?"
"FPS_OPTION","Seu PC não tanka"
"FPS_PHYSICS_OPTION","Seu PC não tanka 2"
"FPS_UNCAPPED","Sem Freio"
"WSIZE_OPTION","Deixar grandão"
"FULLSCREEN_OPTION","Cobrir tudo"
"STRETCH_OPTION","Deixe a Tela"
"STRETCH_OPTION_VIEWPORT","Fabulosa"
"STRETCH_OPTION_2D","Feia"
"CRT_OPTION","TV de Tubo"
"LIGHT_VALUE","Levin"
"STRONG_VALUE","Brabo!"
"DEBUG_OPTION","Já vai cheatar né"
"SHOWIGT_OPTION","Isso é Time Attack?"
"GATEWAYSKIP_OPTION","Já vai bugar né?"
"ASPECT_OPTION","Vai Esticar mermo?"
"IGNORE_VALUE","ESTICADO!"
"KEEP_VALUE","Jeito certo"
"KEYCFG_TITLE","DEIXA O DASH NO A"
"EXIT_MAINMENU","Reset"
"ACTION_CTG","Ação"
"KEYBOARD_CTG","Teclado"
"JOYPAD_CTG","Controle"
"LEFT_ACT","esquerda"
"RIGHT_ACT","direita"
"NEWGAME_OPTION","Começar essa poha DNV!!!!"
"CLEARSAVE_OPTION","Deletar Save State"
"CLEARSAVE_CONFIRM","Dar Load State sem querer dnv?"
"RESET_ACHIEV","Apagar Conta do RA"
"CLEARSAVE_CONFIRM","Clique dnv se você se odeia"
"RESET_ACHIEV_FINISHED","CRL! MINHAS CONQ. PORRA! FDP!"
"UP_ACT","cima"
"DOWN_ACT","baixo"
"SHOT_ACT","tiro"
"SHOT2_ACT","tiro2"
"JUMP_ACT","pulo"
"DASH_ACT","dash"
"ARMORABILITY_ACT","ataque esp."
"PREV_ACT","arma anterior"
"NEXT_ACT","proxima arma"
"PAUSE_ACT","pausar"
"CONFIRM_ACT","confirmar"
"WPNLEFT_ACT","roda esq."
"WPNRIGHT_ACT","roda dir."
"WPNUP_ACT","roda cima"
"WPNDOWN_ACT","roda baixo"
"WPNRESET_ACT","selec. limão"
"ACHIEV_SCREEN_TITLE","Aqui não é RA carai"
"ACHIEVEMENTSUNLOCKED","RA Conectado"
"DEBUGACHIEVTITLE","Vai trapaçear aqui não rapaz"
"DEBUGACHIEVDISC","Partiu quebrar o jogo! WOOOOOOOOOOOOOOOOOOOOOOOO!!!!!!!!!!!!!!!!!!!!!!"
"BEATINTRO_DISC","Derrotou o Capitão da Amazonia."
"BEATINTRO_TITLE","O Amarelo mais Safado dessa Região!"
"COLLECTALLHEARTS_DISC","Coletou todos os Corações."
"COLLECTALLHEARTS_TITLE","Glê Glê Glê Glê Glê"
"COLLECTALLSUBTANKS_DISC","Coletou todas as Antarcticas."
"COLLECTALLSUBTANKS_TITLE","Partiu encher a Caaaaara!"
"COLLECTFULLHERMES_DISC","Coletou todas as partes da Hermes Armor"
"COLLECTFULLHERMES_TITLE","Jogo favorito do Pirralho"
"COLLECTFULLICARUS_DISC","Coletou todas as partes da Icarus Armor."
"COLLECTFULLICARUS_TITLE","Missão Comando"
"SURFEDONMISSILE_DISC","Fez cosplay de Superman por 6 segundos."
"SURFEDONMISSILE_TITLE","Bomb Rush Cyberfunk"
"DEFEATEDALL_DISC","Derrotou os oito Capitães."
"DEFEATEDALL_TITLE","O Morro do Papagaio"
"DEFEATEDANY_DISC","Derrotou qualquer um dos Capitães."
"DEFEATEDANY_TITLE","Nova Geração Z"
"GIGACRUSHKILL_DISC","Finalizou um Capitão usando o Giga Crash."
"GIGACRUSHKILL_TITLE","DNV O ZERO MATOU TODO MUNDO?"
"PELEDOSGAMES_DISC","Cabeceou a Armadura bem depois de derrotar o Capitão."
"PELEDOSGAMES_TITLE","Pelé dos Joojs"
"PERFECTKILL_DISC","Derrotou qualquer Capitão só no limão, sem melhorias e sem tomar chinelada da mãe."
"PERFECTKILL_TITLE","Can't let you do that, Star Fox"
"XDRIVEDODGE_DISC","Usou o X DiVE durante um Ataque Desespero."
"XDRIVEDODGE_TITLE","Uma dadiva dos Ninjas"
"GIGACRUSHKILL_DISC","Finalizou um Capitão usando o Giga Crash."
"GIGACRUSHKILL_TITLE","DNV O ZERO MATOU TODO MUNDO?"
"ANTONIONBUSTERONLY_DISC","Derrotou Toninho Tanajura só nos limão."
"ANTONIONBUSTERONLY_TITLE","CÊ NÃO TA ME ESCUTANDO NÃO?"
"ANTONIONNAKED_DISC","Derrotou Toninho Tanajura sem equipar nenhuma melhoria."
"ANTONIONNAKED_TITLE","COMO QUE SAI DESSA POHA?"
"ANTONIONNODAMAGE_DISC","Derrotou Toninho Tanajura sem tomar chinelada da mãe."
"ANTONIONNODAMAGE_TITLE","Uma FORMIGA, NÃO UM CIENTISTA CACETE!"
"ANTONIONNOROTATION_DISC","Chegou ao final do Chorrochó sem girar a fase e nem morrer."
"ANTONIONNOROTATION_TITLE","Olá GLaDOS, como vai? :)"
"MANOWARBUSTERONLY_DISC","Derrotou Geléia Manauara só nos limão."
"MANOWARBUSTERONLY_TITLE","É muito Adulto"
"MANOWARNAKED_DISC","Derrotou Geléia Manauara sem equipar nenhuma melhoria."
"MANOWARNAKED_TITLE","Quem é tu, Chapa?"
"MANOWARNODAMAGE_DISC","Derrotou Geléia Manauara sem tomar chinelada da mãe."
"MANOWARNODAMAGE_TITLE","Vamos falar de Música"
"MANOWARDOOREXPLODED_DISC","Destruiu a segunda porta em Marginal do Tietê"
"MANOWARDOOREXPLODED_TITLE","O Bordão mais popular"
"MANTISBUSTERONLY_DISC","Derrotou João Grilo so no limão."
"MANTISBUSTERONLY_TITLE","Sou Bom no meu Trabaio!"
"MANTISNAKED_DISC","Derrotou João Grilo sem equipar nenhuma melhoria."
"MANTISNAKED_TITLE","Bando de mandado do Estado"
"MANTISNODAMAGE_DISC","Derrotou João Grilo sem tomar chinelada da mãe."
"MANTISNODAMAGE_TITLE","Tô trabaiando aqui, Sinhô."
"MANTISLIT_DISC","Pôs um fim a escuridão da Santa Rita do Passa Quatro."
"MANTISLIT_TITLE","Liga essa luz carai!"
"MANTISUNDETECTED_DISC","Não foi detectado pelas luzes em Santa Rita do Passa Quatro......anh?"
"MANTISUNDETECTED_TITLE","Meu nome é Sombra"
"PANDABUSTERONLY_DISC","Derrotou E o Bambú? só no limão."
"PANDABUSTERONLY_TITLE","O Peso e o significado dos Problemas"
"PANDANAKED_DISC","Derrotou E o Bambú? sem equipar nenhuma melhoria."
"PANDANAKED_TITLE","Caros Amigos......"
"PANDANODAMAGE_DISC","Derrotou E o Bambú? sem tomar chinelada da mãe."
"PANDANODAMAGE_TITLE","Prática Cotidiana"
"PANDARIDEREACHED_DISC","Chegou ao final do Paudalho com a Jean Grey."
"PANDARIDEREACHED_TITLE","El Contra del Europe"
"ROOSTERBUSTERONLY_DISC","Derrotou Frango de Padaria só no Limão"
"ROOSTERBUSTERONLY_TITLE","DEIXA EU TE DAR UMA AMOSTRA GRATIS!"
"ROOSTERNAKED_DISC","Derrotou Frango de Padaria sem equipar nenhuma melhoria."
"ROOSTERNAKED_TITLE","GILSON!"
"ROOSTERNODAMAGE_DISC","Derrotou Frango de Padaria sem tomar chinelada da mãe."
"ROOSTERNODAMAGE_TITLE","MOMENTO QUEIMANDO ATÉ O CHÃO!!!!!!!!"
"ROOSTERFROZEN_DISC","Parou a lava na Favela do Gato Morto"
"ROOSTERFROZEN_TITLE","Ué, meu cabelo apagou?"
"SUNFLOWERBUSTERONLY_DISC","Derrotou Óleo de Girassol só no Limão."
"SUNFLOWERBUSTERONLY_TITLE","Segue o Baile né, fazer o que"
"SUNFLOWERNAKED_DISC","Derrotou Óleo de Girassol sem equipar nenhuma melhoria."
"SUNFLOWERNAKED_TITLE","No fundo, é a mesma Bosta"
"SUNFLOWERNODAMAGE_DISC","Derrotou Óleo de Girassol sem tomar chinelada da mãe."
"SUNFLOWERNODAMAGE_TITLE","Mesmo Plot de sempre"
"SUNFLOWERGOTSSSRANK_DISC","Conseguiu Rank S em todos os desafios de uma vez só. Slk brabo demais, aposto que foi facinho, kek."
"SUNFLOWERGOTSSSRANK_TITLE","Repita comigo: NÃO, É, UM, PLAGIO!"
"TRILOBYTEBUSTERONLY_DISC","Derrotou Tatuzinho de Jardim só no Limão."
"TRILOBYTEBUSTERONLY_TITLE","O Besouro que extraimos"
"TRILOBYTENAKED_DISC","Derrotou Tatuzinho de Jardim sem equipar nenhuma melhoria."
"TRILOBYTENAKED_TITLE","Velhos montes de Besouros"
"TRILOBYTENODAMAGE_DISC","Derrotou Tatuzinho de Jardim sem tomar chinelada da mãe."
"TRILOBYTENODAMAGE_TITLE","Besouro Desmiolado"
"YETIBUSTERONLY_DISC","Derrotou Aval Lanches e Veti só no Limão."
"YETIBUSTERONLY_TITLE","UGA UGA! BUGA!"
"YETINAKED_DISC","Derrotou Aval Lanches e Veti sem equipar nenhuma melhoria."
"YETINAKED_TITLE","LIVRE ESTOOOOU! LIVRE ESTOOOOU!"
"YETINODAMAGE_DISC","Derrotou Aval Lanches e Veti sem tomar chinelada da mãe."
"YETINODAMAGE_TITLE","Não quero roubar calebeira de ninguem não oxi!"
"YETIDOOREXPLODED_DISC","Destruiu a primeira porta no Trombudo Central."
"YETIDOOREXPLODED_TITLE","Sonic Thrust!"
"VILEJAKOBBUSTERONLY_DISC","Derrotou Vile só no Limão."
"VILEJAKOBBUSTERONLY_TITLE","Brasil Descoberto!"
"VILEJAKOBNAKED_DISC","Derrotou Vile sem equipar nenhuma melhoria."
"VILEJAKOBNAKED_TITLE","Subindo a pé... porque sim."
"VILEJAKOBNODAMAGE_DISC","Derrotou Vile sem tomar chinelada da mãe."
"VILEJAKOBNODAMAGE_TITLE","Mais Inteligente que um Jegue"
"VILEDEFEATEDTWICE_DISC","Derrotou Vile duas vezes."
"VILEDEFEATEDTWICE_TITLE","Chegue mais e me dê um abraço"
"VILEDEVILBEARDEFEATED_DISC","Derrotou Urso Diabo antes de terminar a luta."
"VILEDEVILBEARDEFEATED_TITLE","Que DIABO de URSO é esse afinal?"
"VILEJAKOBDEFEATED_DISC","Derrotou Vile no topo do Morro do Papagaio."
"VILEJAKOBDEFEATED_TITLE","O Cabra mais Esperto do Nordeste"
"VILESIGMADEFEATED_DISC","Derrotou Vile na Rolândia."
"VILESIGMADEFEATED_TITLE","Ainda há Esperança de Jogo novo.....né?"
"GATEWAYFIESTA_DISC","Sobreviveu ao desafio mais difícil do Arroio dos Ratos."
"GATEWAYFIESTA_TITLE","TA NA HORA DO PAAAAAAAAAAU!"
"COPYBUSTERONLY_DISC","Derrotou o Impostor só no Limão."
"COPYBUSTERONLY_TITLE","Ficou convincente?"
"COPYNAKED_DISC","Derrotou o Impostor sem equipar nenhuma melhoria."
"COPYNAKED_TITLE","Testando esse Cosplay"
"COPYNODAMAGE_DISC","Derrotou o Impostor sem tomar chinelada da mãe."
"COPYNODAMAGE_TITLE","Com certeza, Eu sou o Cigma!"
"COPYDEFEATED_DISC","Derrotou o Impostor."
"COPYDEFEATED_TITLE","Modo Cosplay: ATIVAR!"
"SIGMANAKED_DISC","Derrotou Sigma sem equipar nenhuma melhoria."
"SIGMANAKED_TITLE","Corno Manço"
"SIGMANODAMAGE_DISC","Derrotou Sigma sem tomar chinelada da mãe."
"SIGMANODAMAGE_TITLE","O Sigma foi fumado? Fazer o que né"
"LUMINENAKED_DISC","Derrotou o Chefe Final sem equipar nenhuma melhoria."
"LUMINENAKED_TITLE","Bom Dia"
"LUMINENODAMAGE_DISC","Derrotou o Chefe Final sem tomar chinelada da mãe."
"LUMINENODAMAGE_TITLE","Funcionando a base do ChatGPT 3.0"
"SERAPHNAKED_DISC","Derrotou a Segunda Forma do Chefe Final sem equipar nenhuma melhoria."
"SERAPHNAKED_TITLE","Compre mais creditos para continuar essa Conversa"
"SERAPHNODAMAGE_DISC","Derrotou a Segunda Forma do Chefe Final sem tomar chinelada da mãe."
"SERAPHNODAMAGE_TITLE","O Pronunciamento do meu Foda-se"
"SERAPHDEFEATED_DISC","Finalizou essa poha toda."
"SERAPHDEFEATED_TITLE","CHATGPT 3.0 AGRADECE POR JOGAR ESSE JOGO :D"
"SECRET1DEFEATED_DISC","Derrotou o Chefe Secreto."
"SECRET1DEFEATED_TITLE","Jan Quem Pou!"
"SECRET2DEFEATED_DISC","Derrotou o Chefe Secreto #2."
"SECRET2DEFEATED_TITLE","Ciclo dos Seis Battle Networks"
"SECRET3DEFEATED_DISC","Derrotou o Chefe Secreto #3."
"SECRET3DEFEATED_TITLE","EICI ANTÔNIO!!!"
"COLLECTBLACKZERO_TITLE","Nightshade Armor é o Caralho!"
"COLLECTBLACKZERO_DISC","Desbloqueou o seu lado Edge da vida, agora vá e torne-se a forma de vida suprema......não pera."
"COLLECTWHITEAXL_TITLE","Lumine habita nesse pivete >:)"
"COLLECTWHITEAXL_DISC","Desbloqueou a Armadura Branquela. Será que agora você tambem tem genero duvidoso?"
"COLLECTULTIMATEX_TITLE","Ah Fouda-si meu >:3"
"COLLECTULTIMATEX_DISC","Desbloqueou a Ultimate Armor. Dane-se o jogo literalmente kkkkk, Nova Strike em todo mundo e fim de papo. GGs"
"ZERODEFEATED_DISC","Derrotou o Zero em Esteroides, mas você ainda continua não tendo cabelo só pra avisar."
"ZERODEFEATED_TITLE","Porra Zero, DE NOVO ISSO?"
"STAGE_DC","Engenho"
"BOSS_DC","Capitão do Mato"
"COMPLETION_DC","Paradas Pegadas"
"NOAHSPARK_STAGE","Amazônia"
"NOAHSPARK_NAME","Garras do Bicho Papão"
"SUNFLOWER_STAGE","Anta Gorda"
"SUNFLOWER_NAME","Óleo de Girassol"
"ANTONION_STAGE","Chorrochó"
"ANTONION_NAME","Toninho Tanajura"
"MANTIS_STAGE","Santa Rita do Passa Quatro"
"MANTIS_NAME","João Grilo"
"MANOWAR_STAGE","Marginal do Tietê"
"MANOWAR_NAME","Geléia Manauara"
"PANDA_STAGE","Paudalho"
"PANDA_NAME","E o Bambú?"
"TRILOBYTE_STAGE","Caucaia"
"TRILOBYTE_NAME","Tatuzinho de Jardim"
"YETI_STAGE","Trombudo Central"
"YETI_NAME","Aval Lanches e Vet."
"ROOSTER_STAGE","Favela do Gato Morto"
"ROOSTER_NAME","Frango de Padaria"
"JAKOB_STAGE","Morro do Papagaio"
"GATEWAY_STAGE","Arroio dos Ratos"
"SIGMA_STAGE","Rolândia"
"HERMESHEAD1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"HERMESHEAD2","Desta vez fiz algo que dá certin... Par de Chifres H."
"HERMESHEAD3","Este capacete irá acelerar o tempo de carregamento do seus arrotos."
"HERMESHEAD4","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"HERMESBODY1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"HERMESBODY2","Pegue na minha parte... Petcholas H."
"HERMESBODY3","Com esta parte equipada você será capaz de imitar a mesma função que a Grab Buster.... Ah não pera, a gente ta no seculo 22, eu esqueci."
"HERMESBODY4","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"HERMESARMS1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"HERMESARMS2","Pegue na minha parte... Berro H."
"HERMESARMS3","Equipar esta parte lhe dará acesso a um poderoso Arroto Carregado que se propaga em três direções."
"HERMESARMS4","Além disso, suas Armas não consomem energia quando disparadas, exceto quando você usar um Mijão Carregado."
"HERMESARMS5","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"HERMESLEGS1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"HERMESLEGS2","Teste esses Saltos H."
"HERMESLEGS3","Elas lhe concederão invencibilidade durante o Dash no ar e no chão. Agora você não vai mais levar anti aéreos, caramba c tem que aprender a pular menos hein fi."
"HERMESLEGS4","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"ICARUSHEAD1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"ICARUSHEAD2","Adorne sua cabeça com esse Par de Chifres I."
"ICARUSHEAD3","Com esta parte equipada você causará dano ao meter chifradas próximo de inimigos."
"ICARUSHEAD4","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"ICARUSBODY1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"ICARUSBODY2","Acho que você vai ficar lindo vestindo essa Petcholas I."
"ICARUSBODY3","Se você equipar esta parte receberá menos dano do que o normal e vai ter uma Super Armor fudidamente boa pra krl."
"ICARUSBODY4","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"ICARUSARMS1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"ICARUSARMS2","Arranjei esse berro I pra você com um desconto outro dia."
"ICARUSARMS3","Equipando esta parte você ganhará a habilidade de atirar um poderoso Mijão Carregado em forma de laser."
"ICARUSARMS4","Além disso, ao utilizar as suas armas especiais quando carregadas, elas não irão consumir energia."
"ICARUSARMS5","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"ICARUSLEGS1","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
"ICARUSLEGS2","Estes lindos Saltos I combinam com seus olhos."
"ICARUSLEGS3","Elas lhe concederão a habilidade de pular mais elegante do que a Sardonyx e usar o seu Dash aéreo duas vezes igual o Gogeta SSJ4."
"ICARUSLEGS4","Vô lá que a chuva vêm aí e minhas roupas tão no varal."
"INTRO2-1","Aqui é o X! Estou próximo do local do acidente do Elevador Orbital!"
"INTRO2-2","As redondezas estão infestadas de Mavericks!"
"INTRO2-3","Vou abrir caminho até lá. Se preparem para mandar o resgate ao meu sinal!"
"INTRO2-4","Caguei!"
"INTRO2-5","S-Sigma...!?"
"INTRO2-6","Eta porra tá escuro pra caralho aqui."
"INTRO2-7","E um cheiro de fumaça da porra também."
"INTRO2-8","Rapaz sair de dentro do cafofo não melhorou muita coisa não."
"INTRO2-9","Acho que é bom pegar uns copo dagua pra apagar essa brasa aí..."
"INTRO2-10","Quem é você?"
"INTRO2-11","Como assim quem é você? Que falta de educação."
"INTRO2-12","Se apresenta primeiro antes de sair perguntando o nome dozoto."
"INTRO2-13","Entendo. Aguentem firme, vou sinalizar minha equipe para que-"
"INTRO3-1","Óia o cabra aí rapaz, num morre mais!"
"INTRO3-2","Vile?!"
"INTRO3-3","Eu mesmo, o amarelo mais safado dessa região!"
"INTRO3-4","Você é um criminoso procurado! Pare e liberte Lumine!"
"INTRO3-5","Nem a pau, vai ter reprise do auto da compadecida lá na praça de taperoá hoje a noite!"
"INTRO3-6","O que é que você está planejando?!"
"INTRO3-7","Encher o cu de pinga, o resto a gente vê depois!"
"INTRO3-8","kkkkkjjkkkjkjkk!!!!1!1!"
"ANTONION1","Toninho Tanajura... Você costumava ser um incrível cientista. O que aconteceu?"
"ANTONION2","Senhor, eu não sei se percebeu mais não sou um cientista."
"ANTONION3","Eu sou uma porra de uma formiga e tou perdido nessa fase há mais de 2 anos."
"ANTONION4","Será que... Sigma te transformou em um Maverick?"
"ANTONION5","Mas que caralhos, cê não tá me escutando não?"
"ANTONION6","Eu só quero saber onde é a saída homem, como você sequer veio parar aqui?"
"MANOWAR1","Geleia Manauara!"
"MANOWAR2","Retorne o suprimento de energia de Brasilia ao normal! Se não, a cidade será destruida!"
"MANOWAR3","... ... ..."
"MANOWAR4","...Vamos falar de música... Quem é você?"
"MANOWAR5","Eu sou Mega Man X. Sou um Caçador de Mavericks."
"MANOWAR6","Me responda... Sigma fez você se tornar um Maverick?"
"MANOWAR7","Eu não gosto de música infantil. Pois sou um adulto. Você gosta dessa música?"
"MANOWAR8","Eu gosto disso porque é muito adulto."
"MANOWAR9","Você se tornou um Maverick! Vou ter que te impedir!"
"MANTIS1","Vixe, sujô, os tira tão na área."
"MANTIS2","João Grilo. Você é um Maverick. Estou pondo um fim a sua produção de armas."
"MANTIS3","Nada a vê, sinhô. Sou trabaiadô."
"MANTIS4","Então por que você está fabricando armas? Por acaso é Sigma que está te controlando?"
"MANTIS5","Eu tou só trabaiando aqui, sinhô."
"MANTIS6","João Grilo... Suas ações são as de um Maverick!"
"MANTIS7","Mano, vocês são tudo uns mandados pelo estado."
"MANTIS8","Vô te mostrar aqui como sou bom no meu trabaio!"
"PANDA1","Diga-me, X...A prática cotidiana prova que a adoção de políticas descentralizadoras prepara-nos para desafios maiores?"
"PANDA2","Percebemos, cada vez mais, que a consulta aos diversos militantes deve passar por modificações independentemente dos conhecimentos estratégicos para atingir a excelência."
"PANDA3","Do que você está falando? Nenhum Reploid deseja destruição."
"PANDA4","Neste sentido, a valorização de fatores subjetivos é uma das consequências dos modos de operação convencionais."
"PANDA5","Nunca é demais lembrar o peso e o significado destes problemas, uma vez que o desenvolvimento contínuo de distintas formas."
"PANDA6","É Isso que o Sigma acredita? Mas... isso é..."
"PANDA7","Prevejo o que estás prestes a expressar."
"PANDA8","Caros amigos, a contínua expansão de nossa atividade afeta positivamente a correta previsão do levantamento das variáveis envolvidas."
"PANDA9","Evidentemente, a valorização de fatores subjetivos estende o alcance e a importância das novas proposições."
"ROOSTER1","Ó O GALETO TEMPERADO, 24 REAIS COM FAROFA!"
"ROOSTER2","Aqui é o centro de descartes. Onde o lixo é compactado e incinerado..."
"ROOSTER3","Frango de Padaria, por que você iniciou uma revolta? Por acaso Sigma está lhe controlando?"
"ROOSTER4","GALETO GOSTOSO PASSADO NA MANTEIGA, APENAS 24 REAIS!"
"ROOSTER5","Mavericks trazem apenas destruição! Não temos escolha a não ser detê-los!"
