"key","es"
"XDRIVEDODGE_DISC","Usaste XDrive durante un Ataque de Desesperación."
"XDRIVEDODGE_TITLE","La marca del Ninja"
"GIGACRUSHKILL_DISC","Derrotaste a un Jefe usando el Giga Crash."
"GIGACRUSHKILL_TITLE","Cataclismo"
"ANTONIONBUSTERONLY_DISC","Derrotaste a Gravity Antonion sin utilizar armas especiales."
"ANTONIONBUSTERONLY_TITLE","No me Pongas Etiquetas"
"ANTONIONNAKED_DISC","Derrotaste a Gravity Antonion sin equipar ninguna mejora."
"ANTONIONNAKED_TITLE","No Hecho por Elogios"
"ANTONIONNODAMAGE_DISC","Derrotaste a Gravity Antonion sin recibir daño."
"ANTONIONNODAMAGE_TITLE","Un Científico Increíble"
"ANTONIONNOROTATION_DISC","Llegaste al final del nivel Primavera sin voltear el escenario y sin morir."
"ANTONIONNOROTATION_TITLE","Portal"
"MANOWARBUSTERONLY_DISC","Derrotaste a Gigabolt Manowar sin usar armas especiales."
"MANOWARBUSTERONLY_TITLE","Control de mí mismo"
"MANOWARNAKED_DISC","Derrotaste a Gigabolt Manowar sin equipar ninguna mejora."
"MANOWARNAKED_TITLE","¿Quién eres Tú?"
"MANOWARNODAMAGE_DISC","Derrotaste a Gigabolt Manowar sin recibir daño."
"MANOWARNODAMAGE_TITLE","!Haciendo nada malo!"
"MANOWARDOOREXPLODED_DISC","Te abriste camino a través de Dinastía."
"MANOWARDOOREXPLODED_TITLE","¡Es hora de correr!"
"MANTISBUSTERONLY_DISC","Derrotaste a Dark Mantis sin usar armas especiales."
"MANTISBUSTERONLY_TITLE","Mi cuchilla te lo mostrará"
"MANTISNAKED_DISC","Derrotaste a Dark Mantis sin equipar ninguna mejora."
"MANTISNAKED_TITLE","No puedo ser Maverick, Mocoso"
"MANTISNODAMAGE_DISC","Derrotaste a Dark Mantis sin recibir daño."
"MANTISNODAMAGE_TITLE","Tu preciosa \""Justicia\"""
"MANTISLIT_DISC","Pusiste fin a la oscuridad en Oscuridad Total."
"MANTISLIT_TITLE","Brillando en la oscuridad"
"MANTISUNDETECTED_DISC","Evitar todas las luces de búsqueda en Oscuridad Total."
"MANTISUNDETECTED_TITLE","Tácticas de sombra"
"PANDABUSTERONLY_DISC","Derrotaste a Bamboo Pandamonium sin usar armas especiales."
"PANDABUSTERONLY_TITLE","Único propósito es destruir"
"PANDANAKED_DISC","Derrotaste a Bamboo Pandamonium sin equipar ninguna mejora."
"PANDANAKED_TITLE","Estamos obligados a Luchar"
"PANDANODAMAGE_DISC","Derrotaste a Bamboo Pandamonium sin recibir daño."
"PANDANODAMAGE_TITLE","¿Nunca Pensaste por ti mismo?"
"PANDARIDEREACHED_DISC","Llegaste al final del Bosque Amplificador con el Cíclope."
"PANDARIDEREACHED_TITLE","Probotector"
"ROOSTERBUSTERONLY_DISC","Derrotaste a Burn Rooster sin usar armas especiales."
"ROOSTERBUSTERONLY_TITLE","El precio a pagar"
"ROOSTERNAKED_DISC","Derrotaste a Burn Rooster sin equipar mejoras."
"ROOSTERNAKED_TITLE","Juzgado como Maverick"
"ROOSTERNODAMAGE_DISC","Derrotaste a Burn Rooster sin recibir daño."
"ROOSTERNODAMAGE_TITLE","No es un Motín cualquiera"
"ROOSTERFROZEN_DISC","Detuviste la Pared de Lava en el Incinerador Inferno."
"ROOSTERFROZEN_TITLE","Hades"
"SUNFLOWERBUSTERONLY_DISC","Derrotaste a Optic Sunflower sin usar armas especiales."
"SUNFLOWERBUSTERONLY_TITLE","Nadie puede controlarnos"
"SUNFLOWERNAKED_DISC","Derrotaste a Optic Sunflower sin equipar mejoras."
"SUNFLOWERNAKED_TITLE","No somos Monstruos"
"SUNFLOWERNODAMAGE_DISC","Derrotaste a Optic Sunflower sin recibir daño."
"SUNFLOWERNODAMAGE_TITLE","Lo que buscamos"
"SUNFLOWERGOTSSSRANK_DISC","Obtuvo el rango S en todos los desafíos en una sola partida."
"SUNFLOWERGOTSSSRANK_TITLE","Circuito de gravedad"
"TRILOBYTEBUSTERONLY_DISC","Derrotaste a Earthrock Trilobyte sin usar armas especiales."
"TRILOBYTEBUSTERONLY_TITLE","El Mineral que Extraemos"
"TRILOBYTENAKED_DISC","Derrotaste a Earthrock Trilobyte sin equipar ninguna mejora."
"TRILOBYTENAKED_TITLE","Viejos Montones de Basura"
"TRILOBYTENODAMAGE_DISC","Derrotaste a Earthrock Trilobyte sin recibir daño."
"TRILOBYTENODAMAGE_TITLE","Cazador de Mavericks sin Cerebro"
"YETIBUSTERONLY_DISC","Derrotaste a Avalanche Yeti sin usar armas especiales."
"YETIBUSTERONLY_TITLE","Es demasiado tarde..."
"YETINAKED_DISC","Derrotaste a Avalanche Yeti sin equipar ninguna mejora."
"YETINAKED_TITLE","Reploides de modelo viejo"
"YETINODAMAGE_DISC","Derrotaste a Avalanche Yeti sin recibir daño."
"YETINODAMAGE_TITLE","Cazador Insignificante"
"YETIDOOREXPLODED_DISC","Abriste camino a través de Central Alba."
"YETIDOOREXPLODED_TITLE","Sonic Drive"
"VILEJAKOBBUSTERONLY_DISC","Derrotaste a Vile sin usar armas especiales."
"VILEJAKOBBUSTERONLY_TITLE","Uniéndolo T]odo"
"VILEJAKOBNAKED_DISC","Derrotaste a Vile sin equipar ninguna mejora."
"VILEJAKOBNAKED_TITLE","Por un mundo condenado"
"VILEJAKOBNODAMAGE_DISC","Derrotaste a Vile sin recibir daño."
"VILEJAKOBNODAMAGE_TITLE","En momentos como este"
"VILEDEFEATEDTWICE_DISC","Derrotaste a Vile dos veces."
"VILEDEFEATEDTWICE_TITLE","Nuestra pequeña reunión"
"VILEDEVILBEARDEFEATED_DISC","Derrotaste a Devil Bear antes de terminar la batalla."
"VILEDEVILBEARDEFEATED_TITLE","Asalto de acero"
"VILEJAKOBDEFEATED_DISC","Derrotaste a Vile en la cima del Elevador Orbital."
"VILEJAKOBDEFEATED_TITLE","La ruta al Espacio"
"VILESIGMADEFEATED_DISC","Derrotaste a Vile en el Palacio de Sigma."
"VILESIGMADEFEATED_TITLE","Hay Esperanza"
"GATEWAYFIESTA_DISC","Sobreviviste al desafío más difícil en el Satélite de Acceso."
"GATEWAYFIESTA_TITLE","Desperados"
"COPYBUSTERONLY_DISC","Derrotaste al Impostor sin utilizar armas especiales."
"COPYBUSTERONLY_TITLE","Tu mundo ha decaído"
"COPYNAKED_DISC","Derrotaste al Impostor sin equipar ninguna mejora."
"COPYNAKED_TITLE","¿Detener qué?"
"COPYNODAMAGE_DISC","Derrotaste al Impostor sin recibir daño."
"COPYNODAMAGE_TITLE","Yo soy en efecto Sigma."
"COPYDEFEATED_DISC","Derrotaste al Impostor."
"COPYDEFEATED_TITLE","Hora de nuestro Enfrentamiento Final"
"SIGMANAKED_DISC","Derrotaste a Sigma sin equipar mejoras."
"SIGMANAKED_TITLE","Gobernante del Nuevo Mundo"
"SIGMANODAMAGE_DISC","Derrotaste a Sigma sin recibir daño."
"SIGMANODAMAGE_TITLE","Nuestro Encuentro estaba Destinado"
"LUMINENAKED_DISC","Derrotaste al Jefe Final sin equipar ninguna mejora."
"LUMINENAKED_TITLE","Supongo que estás satisfecho."
"LUMINENODAMAGE_DISC","Derrotaste al Jefe Final sin recibir daño."
"LUMINENODAMAGE_TITLE","¿Si estoy bien? Por supuesto."
"SERAPHNAKED_DISC","Derrotaste la Segunda Fase del Jefe Final sin equipar ninguna mejora."
"SERAPHNAKED_TITLE","¿Tienes lo necesario?"
"SERAPHNODAMAGE_DISC","Derrotaste la Segunda Fase del Jefe Final sin recibir daño."
"SERAPHNODAMAGE_TITLE","Maldito ciclo de Agresión"
"SERAPHDEFEATED_DISC","Terminaste el juego."
"SERAPHDEFEATED_TITLE","Herramientas del Viejo Mundo"
"SECRET1DEFEATED_DISC","Derrotaste al Jefe Secreto."
"SECRET1DEFEATED_TITLE","Corredores del Tiempo"
"SECRET2DEFEATED_DISC","Derrotaste al Jefe Secreto #2"
"SECRET2DEFEATED_TITLE","Ciclo de las Seis Existencias"
"SECRET3DEFEATED_DISC","Derrotaste al Jefe Secreto #3."
"SECRET3DEFEATED_TITLE","Dual Destinies"
"COLLECTBLACKZERO_TITLE","La peor pesadilla de los Mavericks"
"COLLECTBLACKZERO_DISC","Armadura Negra desbloqueada. Ve, mi mayor obra maestra, eres el robot más fuerte de todos."
"COLLECTWHITEAXL_TITLE","Poder Desconocido"
"COLLECTWHITEAXL_DISC","Armadura blanca desbloqueada. A pesar de todo, sigues siendo tú... ¿Si?"
"COLLECTULTIMATEX_TITLE","Por la Paz Eterna"
"COLLECTULTIMATEX_DISC","Desbloqueaste la Ultimate Armor. Ve ahora Maverick Hunter, eres la última esperanza de la humanidad."
"ZERODEFEATED_DISC","Derrotó a Zero en su forma despierta."
"ZERODEFEATED_TITLE","La batalla decisiva"
"STAGE_DC","Nivel"
"BOSS_DC","Jefe"
"COMPLETION_DC","Completado"
"NOAHSPARK_STAGE","Parque de Noah"
"NOAHSPARK_NAME","King Crabs-Y"
"SUNFLOWER_STAGE","Base Troia"
"SUNFLOWER_NAME","Optic Sunflower"
"ANTONION_STAGE","Laboratorio Primavera"
"ANTONION_NAME","Gravity Antonion"
"MANTIS_STAGE","Oscuridad Total"
"MANTIS_NAME","Dark Mantis"
"MANOWAR_STAGE","Dinastía"
"MANOWAR_NAME","Gigabolt Manowar"
"PANDA_STAGE","Bosque Amplificador"
"PANDA_NAME","Bamboo Pandamonium"
"TRILOBYTE_STAGE","Valle de Metal"
"TRILOBYTE_NAME","Earthrock Trilobyte"
"YETI_STAGE","Central Alba"
"YETI_NAME","Avalanche Yeti"
"ROOSTER_STAGE","Incinerador Infierno"
"ROOSTER_NAME","Burn Rooster"
"JAKOB_STAGE","Elevador Orbital Jakob"
"GATEWAY_STAGE","Satélite de Acceso"
"SIGMA_STAGE","Palacio de Sigma"
"HERMESHEAD1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"HERMESHEAD2","Esta vez, quiero que pruebes las Partes de Cabeza H."
"HERMESHEAD3","Este casco aumentará la velocidad de carga de tu Buster cuando esté equipado."
"HERMESHEAD4","Entra a la cápsula para equipar esta nueva habilidad, X."
"HERMESBODY1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"HERMESBODY2","Toma... Este peto es la Parte de Cuerpo H."
"HERMESBODY3","Con esta parte equipada, podrás curar el daño recibido golpeando o destruyendo enemigos con tu Buster."
"HERMESBODY4","Entra a la cápsula para equipar esta nueva habilidad, X."
"HERMESARMS1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"HERMESARMS2","Toma, prueba estas Partes de Buster H."
"HERMESARMS3","Al equipar esta parte, obtendrás un Ataque Cargado de Disparo Amplio."
"HERMESARMS4","Tus armas tampoco consumirán energía al disparar, excepto cuando realices un Disparo Cargado."
"HERMESARMS5","Entra a la cápsula para equipar esta nueva habilidad, X."
"HERMESLEGS1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"HERMESLEGS2","Toma, prueba estas Parte de Botas H."
"HERMESLEGS3","Durante el Dash te dara invencibilidad contra los ataques enemigos, tanto en tierra como en el aire."
"HERMESLEGS4","Entra a la cápsula para equipar esta nueva habilidad, X."
"ICARUSHEAD1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"ICARUSHEAD2","Aqui tienes... Partes de Cabeza I."
"ICARUSHEAD3","Con esta parte equipada, causarás daño a los enemigos al saltar cerca de ellos."
"ICARUSHEAD4","Entra a la cápsula para equipar esta nueva habilidad, X."
"ICARUSBODY1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"ICARUSBODY2","Esta vez, quiero que pruebes las Partes de Cuerpo I."
"ICARUSBODY3","Si equipas esto, recibirás menos daño de lo normal, y los enemigos no podrán empujarte hacia atrás."
"ICARUSBODY4","Entra a la cápsula para equipar esta nueva habilidad, X."
"ICARUSARMS1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"ICARUSARMS2","Tengo nuevas partes para ti... Partes de Buster I."
"ICARUSARMS3","Equipa esta parte y obtendrás la habilidad de disparar un potente Disparo Cargado de Láser."
"ICARUSARMS4","Además, el Disparo Cargado de tus armas no consumirá energía."
"ICARUSARMS5","Entra a la cápsula para equipar esta nueva habilidad, X."
"ICARUSLEGS1","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti."
"ICARUSLEGS2","Prueba estas nuevas partes... Partes de Botas I."
"ICARUSLEGS3","Estas partes te daran la habilidad de saltar más alto y podras usar el Dash aéreo 2 veces."
"ICARUSLEGS4","Entra a la cápsula para equipar esta nueva habilidad, X."
"INTRO2-1","¡Aquí X! ¡Estoy cerca del lugar del accidente cerca del Elevador Orbital!"
"INTRO2-2","¡El lugar está repleto de Mavericks!"
"INTRO2-3","Iré hacia el sitio. Prepárense para enviar mecaniloides de rescate a mi señal."
"INTRO2-4","Entendido!"
"INTRO2-5","¿¡S-Sigma...!?"
"INTRO2-6","Para protegernos de los daños durante el accidente..."
"INTRO2-7","Tuvimos que copiar un cuerpo resistente como el de Sigma."
"INTRO2-8","Nosotros, los Reploides de Nueva Generación, disfrutamos de una inmunidad completa y total a todos los virus."
"INTRO2-9","Así que incluso copiar algo tan peligroso como Sigma no conlleva riesgo."
"INTRO2-10","¿Quién eres?"
"INTRO2-11","Me llamo Lumine."
"INTRO2-12","Soy el director a cargo del elevador y del Proyecto Jakob."
"INTRO2-13","Entiendo. Aguarda aquí, enviaré una señal a mi equipo para que envíen el rescate-"
"INTRO3-1","¡Qué bueno verte de nuevo, X!"
"INTRO3-2","¿¡Vile!?"
"INTRO3-3","Ja ja ja... Me encantaría quedarme y jugar contigo, pero me temo que tengo demasiado trabajo que hacer..."
"INTRO3-4","¡Eres un criminal buscado! ¡Detente y suelta a Lumine!"
"INTRO3-5","De ninguna manera. El Elevador Orbital está bajo nuestro control ahora..."
"INTRO3-6","¿¡Qué planeas hacer!?"
"INTRO3-7","Empieza ahora, X...Un nuevo mundo esta por nacer!"
"INTRO3-8","¡Ja ja ja ja ja ja ja ja ja ja!"
"ANTONION1","Gravity Antonion... Solías ser un científico increíble. ¿Qué sucedio?"
"ANTONION2","¿Científico increíble ? ¿Quién eres tú para decir tales cosas?"
"ANTONION3","No realizo mi investigación solo para ganar elogios de alguien como tú."
"ANTONION4","¿Acaso él... Sigma te hizo volverte Maverick?"
"ANTONION5","¿Maverick? Una vez más, intentas catalogarme. ¡Qué arrogancia!"
"ANTONION6","De cualquier forma, si eliges interponerte en mi camino, ¡Te destruiré!"
"MANOWAR1","¡Gigabolt Manowar!"
"MANOWAR2","¡Devuelve el suministro de energía de Ciudad de Abel a la normalidad! ¡Si no, la ciudad será destruida!"
"MANOWAR3","... ... ..."
"MANOWAR4","...No estoy haciendo nada malo... ¿Quién eres tú, de todos modos?"
"MANOWAR5","Yo soy Mega Man X, un Cazador de Mavericks."
"MANOWAR6","¿Sigma te ha convertido en un Maverick?"
"MANOWAR7","Yo no soy un Maverick... Tengo completo control de mí mismo y mis acciones..."
"MANOWAR8","¡Estoy trabajando muy duro para hacer realidad nuestro sueño de un mundo nuevo...!"
"MANOWAR9","¡Te has vuelto Maverick! ¡Tendré que detenerte!"
"MANTIS1","¡Oye! ¿Qué hace un Cazador de Mavericks aquí?"
"MANTIS2","Dark Mantis... Te has vuelto Maverick. Le pondre fin a tu producción de tus armas."
"MANTIS3","Nosotros los Reploides de Nueva Generación, estamos diseñados para que no podamos volvernos Maverick, chico."
"MANTIS4","Entonces, ¿por qué estás fabricando armas? ¿Sigma te está controlando?"
"MANTIS5","¿Y qué es exactamente lo que te controla, X? ¿Tu preciada \""justicia\""? ¿Solamente eso?"
"MANTIS6","Dark Mantis... ¡Tus acciones son las de un Maverick!"
"MANTIS7","Como era de esperar, los Reploids de estilo antiguo realmente no entienden nada."
"MANTIS8","¡Deja que mi cuchilla te muestre lo equivocada que es tu supuesta \""justicia\""!"
"PANDA1","¿Sabías que la forma más temprana de cohetería eran misiles usados para la guerra?"
"PANDA2","Toda la historia se ha pasado fabricando cosas cuyo único propósito es destruir. Misiles... Reploides..."
"PANDA3","¿De qué estás hablando? Ningún Reploide desea la destrucción."
"PANDA4","¿Quieres decirme que nunca has pensado esas cosas tú mismo, X?"
"PANDA5","¿Que este mundo desea la destrucción y nada más?"
"PANDA6","¿Es eso lo que Sigma cree? Pero... Eso..."
"PANDA7","Sé lo que vas a decir."
"PANDA8","Piensas que esa idea es ser Maverick, ¿verdad?"
"PANDA9","Es por eso que estamos obligados a luchar."
"ROOSTER1","¿Sabes qué es este lugar, X?"
"ROOSTER2","Es el centro de eliminación de residuos en la frontera. Donde la basura es presurizada y quemada..."
"ROOSTER3","Burn Rooster, ¿por qué has comenzado una revuelta? ¿Sigma te está controlando?"
"ROOSTER4","Esto no es una reveulta ordinaria. ¡Esto es venganza por todos los Reploides que etiquetaste Maverick y arrojaste a este montón de chatarra!"
"ROOSTER5","¡Los Mavericks solo traen desastre y destrucción! ¡No tenemos más opción que detenerlos!"
"ROOSTER6","¿Esto es lo que quieres decir cuando hablas de justicia? ¡Deberías ser tú quien sea desechado!"
"ROOSTER7","¿Qué planea hacer Sigma? Sabes, solo te está usando. ¡Nada más!"
"ROOSTER8","¿Usarme? ¡Si ese es el precio que debo pagar para llevar a cabo el nuevo mundo, que así sea!"
"ROOSTER9","¡No hay lugar para Reploides como tú en el nuevo mundo que crearemos!"
"SUNFLOWER1","X... Dado que has llegado hasta aquí, debes haberlo descubierto."
"SUNFLOWER2","Debes tener una idea de lo que estamos buscando aquí."
"SUNFLOWER3","Ustedes los Mavericks... Están bajo el control de Sigma, ¿verdad?"
"SUNFLOWER4","Siento decepcionarte, pero nadie puede controlarnos."
"SUNFLOWER5","Quizás no seamos los buenos, pero no somos monstruos."
