"key","ja_JP"
"LIGHT_VALUE","うっすら"
"STRONG_VALUE","ガッツリ"
"DEBUG_OPTION","チートモード（正直に言え）"
"SHOWIGT_OPTION","タイマー表示（RTA勢向け）"
"GATEWAYSKIP_OPTION","ゲートウェイ飛ばす（ヘタレ）"
"ASPECT_OPTION","アスペクト比"
"IGNORE_VALUE","いいえ"
"KEEP_VALUE","はい"
"KEYCFG_TITLE","ボタン設定"
"EXIT_MAINMENU","タイトルに逃げる"
"ACTION_CTG","アクション"
"KEYBOARD_CTG","キーボード"
"JOYPAD_CTG","コントローラー"
"LEFT_ACT","ひだり"
"RIGHT_ACT","みぎ"
"NEWGAME_OPTION","もう一回やるｗ"
"CLEARSAVE_OPTION","セーブ消す（自己責任）"
"CLEARSAVE_CONFIRM","マジで消すの？決定ボタン押せよ"
"RESET_ACHIEV","実績消す（マゾかよ）"
"CLEARSAVE_CONFIRM","後悔しないならもう一回押せ"
"RESET_ACHIEV_FINISHED","消えたぞ。泣くなよ？"
"UP_ACT","うえ"
"DOWN_ACT","した"
"SHOT_ACT","メイン攻撃"
"SHOT2_ACT","サブ攻撃"
"JUMP_ACT","ジャンプ"
"DASH_ACT","ダッシュ"
"ARMORABILITY_ACT","必殺技"
"PREV_ACT","武器 左"
"NEXT_ACT","武器 右"
"PAUSE_ACT","一時停止"
"CONFIRM_ACT","決定"
"WPNLEFT_ACT","ホイール 左"
"WPNRIGHT_ACT","ホイール 右"
"WPNUP_ACT","ホイール 上"
"WPNDOWN_ACT","ホイール 下"
"WPNRESET_ACT","豆鉄砲に戻す"
"ACHIEV_SCREEN_TITLE","やりこみ要素"
"ACHIEVEMENTSUNLOCKED","解除済み"
"DEBUGACHIEVTITLE","チーターはダメです"
"DEBUGACHIEVDISC","デバッグモードONにしやがったなｗｗｗ"
"BEATINTRO_DISC","ノアズパークのボスを倒した"
"BEATINTRO_TITLE","チュートリアルクリアおめ"
"COLLECTALLHEARTS_DISC","ハートタンク全部集めた（暇人）"
"COLLECTALLHEARTS_TITLE","収集癖持ち"
"COLLECTALLSUBTANKS_DISC","サブタンク全部集めた"
"COLLECTALLSUBTANKS_TITLE","備えあれば憂いなし"
"COLLECTFULLHERMES_DISC","Hアーマー全部揃えた"
"COLLECTFULLHERMES_TITLE","スピード狂"
"COLLECTFULLICARUS_DISC","Iアーマー全部揃えた"
"COLLECTFULLICARUS_TITLE","重装備マン"
"SURFEDONMISSILE_DISC","ミサイルの上で6秒間サーフィンした"
"SURFEDONMISSILE_TITLE","ミサイルに乗るな危険"
"DEFEATEDALL_DISC","8体全部倒した"
"DEFEATEDALL_TITLE","全員撃破ニキ"
"DEFEATEDANY_DISC","ボスを1体倒した"
"DEFEATEDANY_TITLE","はじめの一歩"
"GIGACRUSHKILL_DISC","ギガアタックでボスにトドメ刺した"
"GIGACRUSHKILL_TITLE","大草原不可避"
"PELEDOSGAMES_DISC","倒した後の残骸を蹴って遊んだ"
"PELEDOSGAMES_TITLE","キャプテン翼ごっこ"
"PERFECTKILL_DISC","素手ノーダメノーアーマーでボス撃破とかお前何者だよ"
"PERFECTKILL_TITLE","人間やめてる"
"XDRIVEDODGE_DISC","ボスの必殺技中にエクスドライブ使った"
"XDRIVEDODGE_TITLE","無敵回避術"
"GIGACRUSHKILL_DISC","ギガクラッシュでトドメ"
"GIGACRUSHKILL_TITLE","大草原不可避"
"ANTONIONBUSTERONLY_DISC","豆鉄砲だけで引きこもりアリを倒した"
"ANTONIONBUSTERONLY_TITLE","論文未提出"
"ANTONIONNAKED_DISC","裸で引きこもりアリを倒した"
"ANTONIONNAKED_TITLE","全裸の研究者"
"ANTONIONNODAMAGE_DISC","ノーダメで引きこもりアリを倒した"
"ANTONIONNODAMAGE_TITLE","優秀な研究者（自称）"
"ANTONIONNOROTATION_DISC","重力スイッチ踏まずにプリムローズをノーミスクリア"
"ANTONIONNOROTATION_TITLE","ポータルの攻略法見ないでクリアした人"
"MANOWARBUSTERONLY_DISC","豆鉄砲だけでぼっちクラゲを倒した"
"MANOWARBUSTERONLY_TITLE","おれ、つよい"
"MANOWARNAKED_DISC","裸でぼっちクラゲを倒した"
"MANOWARNAKED_TITLE","あんた、だれ？"
"MANOWARNODAMAGE_DISC","ノーダメでぼっちクラゲを倒した"
"MANOWARNODAMAGE_TITLE","おれ、ただしいことしてるよ"
"MANOWARDOOREXPLODED_DISC","停電マンションの2つ目のドアを破壊した"
"MANOWARDOOREXPLODED_TITLE","ドア「解せぬ」"
"MANTISBUSTERONLY_DISC","豆鉄砲だけで中二病カマキリを倒した"
"MANTISBUSTERONLY_TITLE","闇の力（笑）"
"MANTISNAKED_DISC","裸で中二病カマキリを倒した"
"MANTISNAKED_TITLE","厨二vs全裸"
"MANTISNODAMAGE_DISC","ノーダメで中二病カマキリを倒した"
"MANTISNODAMAGE_TITLE","お前の正義（）"
"MANTISLIT_DISC","停電した部屋の灯りをつけた"
"MANTISLIT_TITLE","電気代は誰が払うの？"
"MANTISUNDETECTED_DISC","停電した部屋のスポットライトを全部避けた"
"MANTISUNDETECTED_TITLE","ステルスゲー極めし者"
"PANDABUSTERONLY_DISC","豆鉄砲だけで意識高い系パンダを倒した"
"PANDABUSTERONLY_TITLE","破壊こそ我が使命（キリッ）"
"PANDANAKED_DISC","裸で意識高い系パンダを倒した"
"PANDANAKED_TITLE","SDGsとは（困惑）"
"PANDANODAMAGE_DISC","ノーダメで意識高い系パンダを倒した"
"PANDANODAMAGE_TITLE","考えたことないのか（ドヤ顔）"
"PANDARIDEREACHED_DISC","ライドアーマーに乗ったままステージ最後まで行った"
"PANDARIDEREACHED_TITLE","乗り物オタク"
"ROOSTERBUSTERONLY_DISC","豆鉄砲だけで焼き鳥マスターを倒した"
"ROOSTERBUSTERONLY_TITLE","焼き鳥一本おまけ"
"ROOSTERNAKED_DISC","裸で焼き鳥マスターを倒した"
"ROOSTERNAKED_TITLE","裸で焼肉屋"
"ROOSTERNODAMAGE_DISC","ノーダメで焼き鳥マスターを倒した"
"ROOSTERNODAMAGE_TITLE","耐火性能MAX"
"ROOSTERFROZEN_DISC","激辛ラーメン屋で溶岩を止めた"
"ROOSTERFROZEN_TITLE","溶岩ストッパー"
"SUNFLOWERBUSTERONLY_DISC","豆鉄砲だけで光るヒマワリおじさんを倒した"
"SUNFLOWERBUSTERONLY_TITLE","光合成の邪魔すんな"
"SUNFLOWERNAKED_DISC","裸で光るヒマワリおじさんを倒した"
"SUNFLOWERNAKED_TITLE","裸のほうが自然（植物だけに）"
"SUNFLOWERNODAMAGE_DISC","ノーダメで光るヒマワリおじさんを倒した"
"SUNFLOWERNODAMAGE_TITLE","ひまわり畑の悲劇"
"SUNFLOWERGOTSSSRANK_DISC","全試練を一発でSランク取った。ガチの人やん"
"SUNFLOWERGOTSSSRANK_TITLE","やりこみ勢の鑑"
"TRILOBYTEBUSTERONLY_DISC","豆鉄砲だけで困惑カブトムシを倒した"
"TRILOBYTEBUSTERONLY_TITLE","鉱物コレクター"
"TRILOBYTENAKED_DISC","裸で困惑カブトムシを倒した"
"TRILOBYTENAKED_TITLE","旧世代のポンコツ（自虐）"
"TRILOBYTENODAMAGE_DISC","ノーダメで困惑カブトムシを倒した"
"TRILOBYTENODAMAGE_TITLE","脳筋ハンター（褒め言葉）"
"YETIBUSTERONLY_DISC","豆鉄砲だけでウホウホ雪男を倒した"
"YETIBUSTERONLY_TITLE","ウホ…ウホホ…"
"YETINAKED_DISC","裸でウホウホ雪男を倒した"
"YETINAKED_TITLE","裸で雪山。風邪ひくぞ"
"YETINODAMAGE_DISC","ノーダメでウホウホ雪男を倒した"
"YETINODAMAGE_TITLE","原始人ハンター"
"YETIDOOREXPLODED_DISC","冷蔵庫の中を突き破った"
"YETIDOOREXPLODED_TITLE","ドアブレイカー"
"VILEJAKOBBUSTERONLY_DISC","豆鉄砲だけで荒らしを倒した"
"VILEJAKOBBUSTERONLY_TITLE","気づかないのか（煽り）"
"VILEJAKOBNAKED_DISC","裸で荒らしを倒した"
"VILEJAKOBNAKED_TITLE","裸で荒らし退治"
"VILEJAKOBNODAMAGE_DISC","ノーダメで荒らしを倒した"
"VILEJAKOBNODAMAGE_TITLE","完封勝利ｗｗｗ"
"VILEDEFEATEDTWICE_DISC","荒らしを2回倒した"
"VILEDEFEATEDTWICE_TITLE","しつこいぞ荒らし"
"VILEDEVILBEARDEFEATED_DISC","荒らしより先にデビルベアを壊した"
"VILEDEVILBEARDEFEATED_TITLE","先にクマ殺し"
"VILEJAKOBDEFEATED_DISC","軌道エレベーターで荒らしを倒した"
"VILEJAKOBDEFEATED_TITLE","宇宙でBAN"
"VILESIGMADEFEATED_DISC","シグマパレスで荒らしを倒した"
"VILESIGMADEFEATED_TITLE","まだ望みはある！（多分）"
"GATEWAYFIESTA_DISC","ゲートウェイの最難関を突破した"
"GATEWAYFIESTA_TITLE","修羅場を潜り抜けた者"
"COPYBUSTERONLY_DISC","豆鉄砲だけでコスプレシグマを倒した"
"COPYBUSTERONLY_TITLE","偽物バレバレ"
"COPYNAKED_DISC","裸でコスプレシグマを倒した"
"COPYNAKED_TITLE","裸vsコスプレ"
"COPYNODAMAGE_DISC","ノーダメでコスプレシグマを倒した"
"COPYNODAMAGE_TITLE","確かにワシはシグマじゃ（嘘）"
"COPYDEFEATED_DISC","コスプレシグマを倒した"
"COPYDEFEATED_TITLE","コスプレ大会終了"
"SIGMANAKED_DISC","裸で酔っ払いおじさんを倒した"
"SIGMANAKED_TITLE","裸vs酔っ払い"
"SIGMANODAMAGE_DISC","ノーダメで酔っ払いおじさんを倒した"
"SIGMANODAMAGE_TITLE","シラフの勝利"
"LUMINENAKED_DISC","裸でラスボスAIを倒した"
"LUMINENAKED_TITLE","おはようございます"
"LUMINENODAMAGE_DISC","ノーダメでラスボスAIを倒した"
"LUMINENODAMAGE_TITLE","ChatGPT3.0に勝った"
"SERAPHNAKED_DISC","裸でラスボス第二形態を倒した"
"SERAPHNAKED_TITLE","課金しなくても勝てる"
"SERAPHNODAMAGE_DISC","ノーダメでラスボス第二形態を倒した"
"SERAPHNODAMAGE_TITLE","無課金最強伝説"
"SERAPHDEFEATED_DISC","ゲームクリアした"
"SERAPHDEFEATED_TITLE","エンディングまで泣くんじゃない"
"SECRET1DEFEATED_DISC","裏ボス1を倒した"
"SECRET1DEFEATED_TITLE","隠しボス発見"
"SECRET2DEFEATED_DISC","裏ボス2を倒した"
"SECRET2DEFEATED_TITLE","裏世界の住人"
"SECRET3DEFEATED_DISC","裏ボス3を倒した"
"SECRET3DEFEATED_TITLE","運命の出会い"
"COLLECTBLACKZERO_TITLE","厨二病の極み"
"COLLECTBLACKZERO_DISC","ブラックアーマー解禁。行けゼロ！最強だぞおまえｗｗｗ"
"COLLECTWHITEAXL_TITLE","謎の白い人"
"COLLECTWHITEAXL_DISC","ホワイトアーマー解禁。えっと…おまえ…だよな？"
"COLLECTULTIMATEX_TITLE","もうこれチートだろ"
"COLLECTULTIMATEX_DISC","アルティメットアーマー解禁。行けエックス！人類の希望とかいうやつ！"
"ZERODEFEATED_DISC","覚醒ゼロを倒した（マジかよ）"
"ZERODEFEATED_TITLE","友情破壊"
"STAGE_DC","ステージ"
"BOSS_DC","ボス"
"COMPLETION_DC","攻略済み"
"NOAHSPARK_STAGE","チュートリアル広場"
"NOAHSPARK_NAME","でかいカニ"
"SUNFLOWER_STAGE","植物園"
"SUNFLOWER_NAME","光るヒマワリおじさん"
"ANTONION_STAGE","ぐるぐるステージ"
"ANTONION_NAME","引きこもりアリ"
"MANTIS_STAGE","停電した部屋"
"MANTIS_NAME","中二病カマキリ"
"MANOWAR_STAGE","停電マンション"
"MANOWAR_NAME","ぼっちクラゲ"
"PANDA_STAGE","竹藪"
"PANDA_NAME","意識高い系パンダ"
"TRILOBYTE_STAGE","穴掘り現場"
"TRILOBYTE_NAME","困惑カブトムシ"
"YETI_STAGE","冷蔵庫の中"
"YETI_NAME","ウホウホ雪男"
"ROOSTER_STAGE","激辛ラーメン屋"
"ROOSTER_NAME","焼き鳥マスター"
"JAKOB_STAGE","果てしなく続くエレベーター"
"GATEWAY_STAGE","地獄の門"
"SIGMA_STAGE","酔っ払い御殿"
"HERMESHEAD1","おーいエックス、じいちゃんがまたガチャ回してパーツ引いといたぞｗ"
"HERMESHEAD2","今回はヘッドパーツHじゃ。頭につけるやつな"
"HERMESHEAD3","これ装備するとチャージが爆速になるんじゃ。まあ便利じゃろ"
"HERMESHEAD4","欲しかったらカプセル入れ。じゃ、ワシはニコ動の続き見るわ"
"HERMESBODY1","おーいエックス、じいちゃんがまたパーツ隠しといたぞ"
"HERMESBODY2","今回はボディパーツHじゃ"
"HERMESBODY3","敵殴って回復できるようになるんじゃ。吸血鬼みたいじゃろ？草"
"HERMESBODY4","欲しかったらカプセル入れ。ワシは洗濯物干してくるわ"
"HERMESARMS1","おーいエックス、またパーツ置いといたぞ"
"HERMESARMS2","今回はアームパーツHじゃ"
"HERMESARMS3","拡散チャージショットが撃てるようになるんじゃ。三方向に飛ぶぞ"
"HERMESARMS4","しかも武器エネルギー消費しないんじゃ。チャージ以外はな"
"HERMESARMS5","欲しかったらカプセル入れ。ワシはもう寝る。おやすみ"
"HERMESLEGS1","おーいエックス、またパーツ隠しちゃったぞ。すまんな"
"HERMESLEGS2","今回はフットパーツHじゃ"
"HERMESLEGS3","ダッシュ中無敵になるんじゃ。地上限定じゃがな。チートに見えるが仕様じゃ"
"HERMESLEGS4","欲しかったらカプセル入れ。じゃ、ワシはYouTube見てくる"
"ICARUSHEAD1","おーいエックス、今回もパーツ用意しといたぞ"
"ICARUSHEAD2","今回はヘッドパーツIじゃ"
"ICARUSHEAD3","ジャンプ中に頭突きでダメージ与えられるんじゃ。硬い頭を活かせ"
"ICARUSHEAD4","欲しかったらカプセル入れ。ワシはソシャゲのログボ取りに行く"
"ICARUSBODY1","エックスよ、またカプセル隠しちまった。探すの大変じゃったろ？ｗ"
"ICARUSBODY2","今回はボディパーツIじゃ"
"ICARUSBODY3","ダメージ半減してのけぞらなくなるんじゃ。スーパーアーマーってやつじゃ"
"ICARUSBODY4","欲しかったらカプセル入れ。ワシは孫のゲーム実況見てくる"
"ICARUSARMS1","おーいエックス、またパーツできたぞ"
"ICARUSARMS2","今回はアームパーツIじゃ"
"ICARUSARMS3","強力なレーザーチャージが撃てるようになるんじゃ。ビームサーベルみたいなやつ"
"ICARUSARMS4","しかもチャージ武器のエネルギー消費なしじゃ。壊れ性能"
"ICARUSARMS5","欲しかったらカプセル入れ。ワシはAmazonのセール見てくる"
"ICARUSLEGS1","エックスよ、またパーツ隠しちまったぞ"
"ICARUSLEGS2","今回はフットパーツIじゃ"
"ICARUSLEGS3","ハイジャンプと空中ダッシュ2回できるようになるんじゃ。もう鳥じゃろこれ"
"ICARUSLEGS4","欲しかったらカプセル入れ。じゃ、ワシは5chのスレ見てくるわ"
"INTRO2-1","こちらエックス！軌道エレベーターの事故現場に接近中！マジでイレギュラーだらけなんだが！？"
"INTRO2-2","うわっ、イレギュラーめっちゃおるやん…"
"INTRO2-3","とりあえず現場行ってくる。合図したら救急メカ頼むわ！"
"INTRO2-4","りょ！"
"INTRO2-5","シ…シグマ？！マジかよ…"
"INTRO2-6","いやー、事故から身を守るためにですね…"
"INTRO2-7","シグマボディをコピーしてたんですよ"
"INTRO2-8","私たち新世代型レプリロイドにはコピー機能がありますから"
"INTRO2-9","シグマコピーしても全然問題ないんですよ。マジで"
"INTRO2-10","えっと…あんた誰？"
"INTRO2-11","私は……ルミネ"
"INTRO2-12","このエレベーター、ヤコブの管理者です。よろしく"
"INTRO2-13","なるほど。ちょっと待って、救助隊呼ぶから…"
"INTRO3-1","ｸｸｸｸ…よぉエックス！久しぶりじゃねーか！"
"INTRO3-2","てめぇは…VAVA！"
"INTRO3-3","おまえと遊びてぇんだが、まだ仕事残ってんだよなぁ"
"INTRO3-4","お前は指名手配のイレギュラーだろ！ルミネ返せ！"
"INTRO3-5","やだねｗ 軌道エレベーターはもう俺らのモンだからｗｗｗ"
"INTRO3-6","何を企んでやがる！！"
"INTRO3-7","ｸｸｸ、エックス…始まるんだよ、新しい世界がな…草"
"INTRO3-8","ｗｗｗｗｗｗｗｗｗ！"
"ANTONION1","引きこもりアリさん…優秀な研究者だったって聞いたけど、何があったの？"
"ANTONION2","優秀？誰がそれ決めたの？レビューサイトのスコア？"
"ANTONION3","そもそも私、あなた方の評価のために研究してたわけじゃないですよ"
"ANTONION4","シグマに洗脳されたのか…？"
"ANTONION5","洗脳？それも誰が決めるの？ソースは？"
"ANTONION6","とにかく、邪魔するなら排除しますよ。以上"
"MANOWAR1","ぼっちクラゲ！"
"MANOWAR2","アーベルシティの電気戻せ！このままじゃ停電で大変なことになるぞ！"
"MANOWAR3","………"
"MANOWAR4","おれはなにもわるいことしてないよ… あんた、だれ？"
"MANOWAR5","エックスだ！イレギュラーハンター！"
"MANOWAR6","おまえもイレギュラーになっちゃったのか…"
"MANOWAR7","イレギュラーじゃないよ…おれ、ただしいことしてるよ…"
"MANOWAR8","おれは、あのかたのつくるあたらしいせかいのために、がんばってるんだよ…"
"MANOWAR9","おまえはイレギュラーだ、処分する！"
"MANTIS1","よぉ、イレギュラーハンターさんがこんな暗いとこに何の用だ？"
"MANTIS2","中二病カマキリ、おまえのやってることはイレギュラーだ！闇の兵器工場を潰してやる！"
"MANTIS3","フッ…我らがイレギュラーではないと認める気はないようだな…（目を伏せる）"
"MANTIS4","シグマのために兵器作ってんのか？おまえ操られてるだろ…"
"MANTIS5","操られてる？じゃあお前は何に操られてるんだ、エックス？お前のちっぽけな正義（笑）にか？"
"MANTIS6","中二病カマキリ、おまえのやっていることは……イレギュラーだ！"
"MANTIS7","フッ…所詮おまえら旧世代は何も分かっちゃいねぇ…（髪をかきあげる）"
"MANTIS8","その浅はかな正義とやら…この漆黒の刃で切り裂いてやろうか！"
"PANDA1","ご存知ですか？ロケットの起源は、戦争用ミサイルなんですよ…"
"PANDA2","この世界は破壊のための道具ばかり作ってきた…ミサイルとか…我々レプリロイドとか…"
"PANDA3","何言ってんだ？レプリロイドは破壊なんか望んでない！"
"PANDA4","エックスさん、あなたも考えたことがあるのでは？"
"PANDA5","この世界が、破壊を望んでいるということを"
"PANDA6","シグマやイレギュラーもそうだって？でもそれは…"
"PANDA7","分かっています"
"PANDA8","それはイレギュラーな考えです…"
"PANDA9","だからこそ我々は、戦わなければいけないのです…SDGs的に考えて"
"ROOSTER1","エックス！ここが何だか知ってんのか！？"
"ROOSTER2","廃棄処理施設…ゴミを高温で処理する…"
"ROOSTER3","焼き鳥マスター、なんで暴動起こした？シグマに操られてんのか？"
"ROOSTER4","暴動？違ぇよ！おまえらにイレギュラー呼ばわりされてここに捨てられたレプリロイドたちの仇をとってやんだよ！"
"ROOSTER5","イレギュラーは放置したら世界に害を及ぼす！処理しなきゃならん！"
"ROOSTER6","それがおまえらの正義か！？くだらねぇ！おまえらこそ処理されろ！"
"ROOSTER7","おまえはシグマに利用されてるだけだ！"
"ROOSTER8","利用？構わんさ！新しい世界のためなら喜んでこの身を捧げるぜ！焼き鳥にしてやんよ！"
"ROOSTER9","おまえらこそ要らねぇんだよ…来るべき世界にはな！コケーッ！！"
"SUNFLOWER1","エックス、ここまで来たなら我々が何者か…"
"SUNFLOWER2","何を目指しているか…お気づきでしょう？"
"SUNFLOWER3","シグマがおまえたちイレギュラーを操ってるのか！？"
"SUNFLOWER4","残念ながら、我々は誰にも操られていない…"
"SUNFLOWER5","イレギュラーは正当ではないが、有効なコードだ。毎回同じ展開だけどな"
"SUNFLOWER6","処分する権利など、誰にもない。…まあ、どうせ倒されるんだけどね（メタ発言）"
"TRILOBYTE1","おれたちがここで掘ってる鉱物が宇宙開発に必要だって知ってるか？"
"TRILOBYTE2","シグマか？あいつに資源流してるな！"
"TRILOBYTE3","脳筋ハンターに言っても分からないだろうけどな"
"TRILOBYTE4","どうせ旧世代のポンコツはここで埋まるんだしなー"
"YETI1","ウホ。じゃまするな"
"YETI2","ウホウホ雪男！何を企んでるんだ！？"
"YETI3","ウホウホ。おまえたち旧世代には想像もつかない存在ウホ"
"YETI4","さがれ、エックス！ウホ！"
"YETI5","そうはいかない！このシステムが復旧しないと環境がヤバいんだ！"
"YETI6","ウホ…旧世代のふるい考えでは同じことの繰り返しウホ"
"YETI7","うせろエックス！ウホーーーー！！！"
"VILE1-1","きさま…VAVA！"
"VILE1-2","ルミネをどこにやった！？計画を邪魔するつもりか？"
"VILE1-3","ｗｗｗ いきなり質問攻めかよエックス"
"VILE1-4","安心しろ、ルミネは丁重にお預かりしてるぜ"
"VILE1-5","軌道エレベーターは俺らにとっても大事だからなｗ"
"VILE1-6","ふざけんな！"
